DOI,publicationDate,publisher,subject
doi:10.7910/DVN/LBMRFX,2017,jop,Social Sciences
doi:10.7910/DVN/COXYJQ,2019,harvard,Social Sciences
doi:10.7910/DVN/AYXQIJ,2019,harvard,Social Sciences
doi:10.7910/DVN/ICBCM2,2018,jop,Social Sciences
doi:10.7910/DVN/JUCGYS,2016,PSRM,Social Sciences
doi:10.7910/DVN/P5TAFD,2020,ajps,Social Sciences
doi:10.7910/DVN/FMX62W,2019,jop,Social Sciences
doi:10.7910/DVN/UFL6MI,2020,harvard,Computer and Information Science;Social Sciences
doi:10.7910/DVN/EYME7H,2018,montag,Social Sciences
doi:10.7910/DVN/0HDTYM,2017,xps,Social Sciences
doi:10.7910/DVN/W1TDGZ,2016,ajps,Social Sciences
doi:10.7910/DVN/BKI1X3,2019,BJPolS,Social Sciences
doi:10.7910/DVN/IIYGGX,2016,ajps,Social Sciences
doi:10.7910/DVN/BMKKTY,2017,harvard,Arts and Humanities
doi:10.7910/DVN/ELI51F,2020,Clarifying-Ideology-Policy-Diffusion,Social Sciences
doi:10.7910/DVN/5JDXHS,2016,economics,Social Sciences
doi:10.7910/DVN/ZELWZ7,2019,perspectives,Social Sciences
doi:10.7910/DVN/X9NUOJ,2017,jhomola,Social Sciences
doi:10.7910/DVN/EXVUEA,2016,polbehavior,Social Sciences
doi:10.7910/DVN/8HFVU8,2019,jop,Social Sciences
doi:10.7910/DVN/KPDD0E,2020,harvard,Business and Management;Social Sciences
doi:10.7910/DVN/TR4OUK,2017,ajps,Social Sciences
doi:10.7910/DVN/AKLOHE,2019,bobreednz,Business and Management;Social Sciences
doi:10.7910/DVN/99OJBV,2019,harvard,Social Sciences
doi:10.7910/DVN/2RORMS,2019,EDCC,Agricultural Sciences
doi:10.7910/DVN/KBMBJP,2020,harvard,Social Sciences
doi:10.7910/DVN/DDQDMS,2015,jop,Social Sciences
doi:10.7910/DVN/8UWS1R,2019,patrick_mello,Social Sciences
doi:10.7910/DVN/4C1KJT,2020,BJPolS,Social Sciences
doi:10.7910/DVN/3JA2GK,2018,jslapin,Social Sciences
doi:10.7910/DVN/MR7YZK,2020,harvard,Social Sciences
doi:10.7910/DVN/JP2JHH,2017,harvard,Social Sciences
doi:10.7910/DVN/1YG7BI,2018,PSRM,Social Sciences
doi:10.7910/DVN/NZIVED,2018,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/EAI1BB,2018,xps,Social Sciences
doi:10.7910/DVN/L8YEDW,2017,xps,Social Sciences
doi:10.7910/DVN/VOW9OB,2020,harvard,Social Sciences
doi:10.7910/DVN/ZMYDWN,2018,harvard,Social Sciences
doi:10.7910/DVN/3UXBOJ,2016,culturalanalytics,Arts and Humanities
doi:10.7910/DVN/JZZIYU,2016,harvard,Arts and Humanities;Social Sciences
doi:10.7910/DVN/QEMNP1,2020,ajps,Social Sciences
doi:10.7910/DVN/JYKL9M,2019,ajps,Social Sciences
doi:10.7910/DVN/PVPJWM,2018,palcomms,Social Sciences
doi:10.7910/DVN/ZXZMJB,2015,ajps,Social Sciences
doi:10.7910/DVN/HCSQBD,2018,pan,Social Sciences
doi:10.7910/DVN/XF7UBI,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/OSIQ8I,2019,lsq,Social Sciences
doi:10.7910/DVN/PHVXJK,2018,isq,Social Sciences
doi:10.7910/DVN/UHKDG4,2016,harvard,Social Sciences
doi:10.7910/DVN/ZIO43M,2018,vec,Medicine; Health and Life Sciences
doi:10.7910/DVN/SWORPS,2018,polbehavior,Social Sciences
doi:10.7910/DVN/U1GGGQ,2016,kbanda,Social Sciences
doi:10.7910/DVN/44XF6M,2018,isq,Social Sciences
doi:10.7910/DVN/SWTEAN,2015,researchandpolitics,Social Sciences
doi:10.7910/DVN/8DQFXQ,2019,vinicius_santana_ad_ufpe_2019,Social Sciences
doi:10.7910/DVN/GFGWDO,2020,harvard,Agricultural Sciences
doi:10.7910/DVN/5HC6SV,2019,harvard,Social Sciences
doi:10.7910/DVN/FRPRDP,2019,world-politics,Social Sciences
doi:10.7910/DVN/HLAGNR,2019,zucco,Social Sciences
doi:10.7910/DVN/SWFNQE,2019,world-politics,Social Sciences
doi:10.7910/DVN/YDBMNI,2020,the_review,Social Sciences
doi:10.7910/DVN/MV8SWC,2018,pomeroy,Computer and Information Science;Law;Social Sciences
doi:10.7910/DVN/TPZPIO,2020,jop,Social Sciences
doi:10.7910/DVN/TZTW1J,2018,perspectives,Social Sciences
doi:10.7910/DVN/ORH029,2016,harvard,Social Sciences
doi:10.7910/DVN/MKAI7J,2017,harvard,Social Sciences
doi:10.7910/DVN/WDMSOL,2018,Bioversity,Agricultural Sciences
doi:10.7910/DVN/G0HJLV,2019,ESD_GouldUrpelainen_EduationAttitudesLPG,Social Sciences
doi:10.7910/DVN/TJ1ZXX,2018,ajps,Social Sciences
doi:10.7910/DVN/DNWDSR,2017,internationalinteractions,Social Sciences
doi:10.7910/DVN/86YEER,2018,gov2001,Social Sciences
doi:10.7910/DVN/W3VOOP,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/AZXYIB,2017,chanret,Law;Social Sciences
doi:10.7910/DVN/O11QZU,2016,harvard,Social Sciences
doi:10.7910/DVN/SYOKZW,2019,harvard,Social Sciences
doi:10.7910/DVN/UKOSTN,2018,polbehavior,Social Sciences
doi:10.7910/DVN/VSS3KO,2020,harvard,Social Sciences
doi:10.7910/DVN/OVRHOG,2018,mattingram,Computer and Information Science;Law;Mathematical Sciences;Social Sciences
doi:10.7910/DVN/GHXJYL,2018,world-politics,Social Sciences
doi:10.7910/DVN/FXVVDQ,2019,harvard,Social Sciences
doi:10.7910/DVN/GSBOEU,2017,harvard,Social Sciences
doi:10.7910/DVN/T9IKQT,2016,PSRM,Social Sciences
doi:10.7910/DVN/6UNLQM,2017,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/RXMV9W,2018,JPublicPolicy,Social Sciences
doi:10.7910/DVN/RRBPUD,2019,the_review,Social Sciences
doi:10.7910/DVN/PZC0DM,2016,PSRM,Social Sciences
doi:10.7910/DVN/CMK05F,2020,harvard,Social Sciences
doi:10.7910/DVN/NGTWWJ,2019,ajps,Social Sciences
doi:10.7910/DVN/GXXKU0,2020,kadeem-gilbert,Medicine; Health and Life Sciences;Other
doi:10.7910/DVN/JPU0BX,2017,harvard,Social Sciences
doi:10.7910/DVN/VJCL6D,2019,polbehavior,Social Sciences
doi:10.7910/DVN/QTOIQF,2019,the_review,Social Sciences
doi:10.7910/DVN/Y0YCO9,2017,chanret,Social Sciences
doi:10.7910/DVN/80WUQB,2017,pan,Social Sciences
doi:10.7910/DVN/HXNVTQ,2017,samharper,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/IUXG2I,2019,jop,Social Sciences
doi:10.7910/DVN/26VAXI,2019,harvard,Social Sciences
doi:10.7910/DVN/XERE2A,2020,BJPolS,Social Sciences
doi:10.7910/DVN/CX6BKT,2017,governator,Social Sciences
doi:10.7910/DVN/JQV0DJ,2019,Rodrigues-Silveira,Social Sciences
doi:10.7910/DVN/LJIO0F,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/UDZZSH,2017,PSRM,Social Sciences
doi:10.7910/DVN/FR73RE,2020,harvard,Social Sciences
doi:10.7910/DVN/RT8CHM,2019,harvard,Social Sciences
doi:10.7910/DVN/TPAB95,2017,isq,Social Sciences
doi:10.7910/DVN/8XUKIH,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/IUB62M,2018,jop,Social Sciences
doi:10.7910/DVN/GKW5Q5,2019,xps,Social Sciences
doi:10.7910/DVN/L0SO7L,2019,harvard,Social Sciences
doi:10.7910/DVN/7ZZKC7,2020,pomelo_metec_2019,Other
doi:10.7910/DVN/RSI8NR,2017,harvard,Social Sciences
doi:10.7910/DVN/HJF8UO,2018,jslapin,Social Sciences
doi:10.7910/DVN/229VVX,2016,napaxton,Social Sciences
doi:10.7910/DVN/CXSECU,2020,harvard,Computer and Information Science;Social Sciences
doi:10.7910/DVN/OK5PUL,2019,restat,Social Sciences
doi:10.7910/DVN/XNOARV,2019,mine2018,Social Sciences
doi:10.7910/DVN/TRTXLP,2016,clucas,Social Sciences
doi:10.7910/DVN/SJI4IA,2018,the_review,Social Sciences
doi:10.7910/DVN/B8JYZW,2020,pan,Social Sciences
doi:10.7910/DVN/5J4YZZ,2020,harvard,Earth and Environmental Sciences;Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/PMKK9S,2020,educationandcontext,Social Sciences
doi:10.7910/DVN/MIA6DY,2020,PSRM,Social Sciences
doi:10.7910/DVN/8ZJBLI,2018,ajps,Social Sciences
doi:10.7910/DVN/FECIO3,2019,the_review,Social Sciences
doi:10.7910/DVN/6N2PN4,2016,jop,Social Sciences
doi:10.7910/DVN/KKQFKA,2019,ajps,Social Sciences
doi:10.7910/DVN/NOYBCQ,2019,ajps,Social Sciences
doi:10.7910/DVN/OWUY5F,2016,harvard,Other
doi:10.7910/DVN/EB8DD8,2019,CJFariss,Social Sciences
doi:10.7910/DVN/TYSETW,2018,harvard,Social Sciences
doi:10.7910/DVN/QMBTPP,2018,BJPolS,Social Sciences
doi:10.7910/DVN/R8PNCP,2017,xps,Social Sciences
doi:10.7910/DVN/HEGV1N,2018,laronwilliams,Social Sciences
doi:10.7910/DVN/T7PXKJ,2020,IOJ,Social Sciences
doi:10.7910/DVN/QWEK63,2020,harvard,Social Sciences
doi:10.7910/DVN/U1JEC0,2020,BJPolS,Social Sciences
doi:10.7910/DVN/QB1TUJ,2020,jop,Social Sciences
doi:10.7910/DVN/LD0ITE,2018,pan,Social Sciences
doi:10.7910/DVN/D5CQA7,2017,BJPolS,Social Sciences
doi:10.7910/DVN/03CDTK,2018,the_review,Social Sciences
doi:10.7910/DVN/AQB4MP,2016,pan,Social Sciences
doi:10.7910/DVN/3EONKV,2018,jop,Other
doi:10.7910/DVN/ERNXOP,2016,polbehavior,Social Sciences
doi:10.7910/DVN/N6CT4V,2018,isq,Social Sciences
doi:10.7910/DVN/Z09KDS,2018,perspectives,Social Sciences
doi:10.7910/DVN/OMS7VI,2018,MarkusGastinger,Social Sciences
doi:10.7910/DVN/ZRZGTT,2019,ajps,Social Sciences
doi:10.7910/DVN/NIGQBX,2016,jop,Social Sciences
doi:10.7910/DVN/KYSD5S,2018,BJPolS,Social Sciences
doi:10.7910/DVN/ZRMAKU,2017,harvard,Computer and Information Science
doi:10.7910/DVN/NSRG8T,2017,G6PD-flow-cytometric,Medicine; Health and Life Sciences
doi:10.7910/DVN/UI7OFK,2020,JPublicPolicy,Social Sciences
doi:10.7910/DVN/QO6EMT,2017,ajps,Social Sciences
doi:10.7910/DVN/ZCSCRI,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/XBBOHV,2016,jop,Social Sciences
doi:10.7910/DVN/G8AF5G,2018,isq,Social Sciences
doi:10.7910/DVN/QXDOPZ,2020,harvard,Social Sciences
doi:10.7910/DVN/2HXTR8,2019,BJPolS,Social Sciences
doi:10.7910/DVN/AU3BTQ,2017,xps,Social Sciences
doi:10.7910/DVN/V5NBER,2017,samharper,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/DX4HLQ,2016,FPA,Social Sciences
doi:10.7910/DVN/TCYTEO,2020,sentencasCriminais,Arts and Humanities;Law;Social Sciences
doi:10.7910/DVN/VZAKYC,2017,harvard,Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/FSN6ZY,2019,restat,Social Sciences
doi:10.7910/DVN/IJKAUR,2018,alkon,Agricultural Sciences;Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/MZUOWG,2018,polbehavior,Social Sciences
doi:10.7910/DVN/HAU0EX,2016,the_review,Social Sciences
doi:10.7910/DVN/SMBFOZ,2017,BJPolS,Social Sciences
doi:10.7910/DVN/LIVJLZ,2020,harvard,Social Sciences
doi:10.7910/DVN/MT7XU0,2018,polbehavior,Social Sciences
doi:10.7910/DVN/NURHVT,2020,jkarreth,Social Sciences
doi:10.7910/DVN/OE6UMR,2019,joshuabecker,Social Sciences
doi:10.7910/DVN/T1DDVF,2018,mbuntaine,Social Sciences
doi:10.7910/DVN/3AA5CQ,2016,nh2376_qmss_thesis,Social Sciences
doi:10.7910/DVN/TVLHQX,2016,ll2937,Social Sciences
doi:10.7910/DVN/MTHVD4,2015,harvard,Social Sciences
doi:10.7910/DVN/A3NO2G,2019,speeches,Social Sciences
doi:10.7910/DVN/WHBK7K,2019,jlc,Law;Social Sciences
doi:10.7910/DVN/27564,2014,pan,Law;Social Sciences
doi:10.7910/DVN/BG1FEO,2018,JPublicPolicy,Social Sciences
doi:10.7910/DVN/3ADWK8,2020,jop,Social Sciences
doi:10.7910/DVN/OJA7YS,2019,ajps,Social Sciences
doi:10.7910/DVN/FN7XIV,2017,harvard,Social Sciences
doi:10.7910/DVN/8KQJBJ,2018,restat,Social Sciences
doi:10.7910/DVN/6IOACK,2018,ajps,Social Sciences
doi:10.7910/DVN/KRIR6G,2020,ajps,Social Sciences
doi:10.7910/DVN/OGVWDE,2018,ajps,Social Sciences
doi:10.7910/DVN/7LIY1U,2018,holger-doering,Social Sciences
doi:10.7910/DVN/WUQRIQ,2017,xps,Social Sciences
doi:10.7910/DVN/NRAQRH,2018,ajps,Social Sciences
doi:10.7910/DVN/WOED4N,2019,IOJ,Social Sciences
doi:10.7910/DVN/HWH5YN,2016,rdarps,Social Sciences
doi:10.7910/DVN/XRR0HM,2017,pan,Social Sciences
doi:10.7910/DVN/E3FDAV,2018,jop,Social Sciences
doi:10.7910/DVN/AMYHNJ,2017,PSRM,Social Sciences
doi:10.7910/DVN/EWISS3,2016,PSRM,Social Sciences
doi:10.7910/DVN/F43LHM,2018,isq,Social Sciences
doi:10.7910/DVN/DMMQ4L,2015,harvard,Social Sciences
doi:10.7910/DVN/26HDEO,2020,IOJ,Social Sciences
doi:10.7910/DVN/K5MT68,2018,isq,Social Sciences
doi:10.7910/DVN/6JGSZP,2019,xps,Social Sciences
doi:10.7910/DVN/WAEHOI,2018,jop,Social Sciences
doi:10.7910/DVN/Z5RBBT,2019,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/9SAX3K,2016,jop,Social Sciences
doi:10.7910/DVN/EEMRS9,2018,jop,Social Sciences
doi:10.7910/DVN/YTTDWH,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/W1YYEV,2020,perspectives,Social Sciences
doi:10.7910/DVN/NN9KZT,2017,BJPolS,Social Sciences
doi:10.7910/DVN/LPF2BK,2017,harvard,Computer and Information Science
doi:10.7910/DVN/YUM3K8,2019,ajps,Social Sciences
doi:10.7910/DVN/JERJ0C,2020,ilundberg,Social Sciences
doi:10.7910/DVN/1ELYGA,2017,harvard,Social Sciences
doi:10.7910/DVN/Q7V70C,2016,pan,Social Sciences
doi:10.7910/DVN/6PQOPQ,2019,gov2001,Social Sciences
doi:10.7910/DVN/NFPJAQ,2019,culturalanalytics,Arts and Humanities;Computer and Information Science
doi:10.7910/DVN/FUC2AH,2017,tpmnewsletter,Social Sciences
doi:10.7910/DVN/D9FAZL,2018,isq,Social Sciences
doi:10.7910/DVN/YRAJHO,2019,harvard,Social Sciences
doi:10.7910/DVN/BBDYUZ,2017,KITE,Earth and Environmental Sciences
doi:10.7910/DVN/HUKSID,2018,the_review,Social Sciences
doi:10.7910/DVN/PSETMP,2018,Advances_Self_Monitoring,Social Sciences
doi:10.7910/DVN/HETS9K,2016,djmallinson,Social Sciences
doi:10.7910/DVN/JJMCTA,2016,economics,Social Sciences
doi:10.7910/DVN/X9528P,2017,ilundberg,Social Sciences
doi:10.7910/DVN/UWMHET,2019,BJPolS,Social Sciences
doi:10.7910/DVN/T5DKRO,2017,the_review,Social Sciences
doi:10.7910/DVN/ENFMZY,2016,PSRM,Social Sciences
doi:10.7910/DVN/EEP5MT,2017,pan,Social Sciences
doi:10.7910/DVN/8XT86F,2020,ajps,Social Sciences
doi:10.7910/DVN/UTAP1V,2017,the_review,Social Sciences
doi:10.7910/DVN/ZSTE1X,2017,jop,Social Sciences
doi:10.7910/DVN/WYCMVV,2016,harvard,Social Sciences
doi:10.7910/DVN/UPMOHW,2018,BJPolS,Social Sciences
doi:10.7910/DVN/PMPSWJ,2019,harvard,Social Sciences
doi:10.7910/DVN/O1PMGO,2018,isq,Social Sciences
doi:10.7910/DVN/2LY2WB,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/WRVUOT,2017,BJPolS,Social Sciences
doi:10.7910/DVN/UN9JWF,2020,harvard,Social Sciences
doi:10.7910/DVN/NNXBHP,2019,polbehavior,Social Sciences
doi:10.7910/DVN/CCUHUY,2018,harvard,Social Sciences
doi:10.7910/DVN/XUVHCH,2020,harvard,Social Sciences
doi:10.7910/DVN/DMWWS5,2019,jop,Social Sciences
doi:10.7910/DVN/1GDKSV,2016,arwhite,Social Sciences
doi:10.7910/DVN/J5GCZQ,2019,DJHOPKINS,Social Sciences
doi:10.7910/DVN/RGIUEV,2020,restat,Social Sciences
doi:10.7910/DVN/MTELU8,2017,harvard,Social Sciences
doi:10.7910/DVN/FB3O9W,2019,jop,Social Sciences
doi:10.7910/DVN/RZWQQK,2018,SpaceBetweenUs,Social Sciences
doi:10.7910/DVN/MB2UKU,2019,ajps,Social Sciences
doi:10.7910/DVN/IKM2A4,2020,ajps,Social Sciences
doi:10.7910/DVN/O2BK85,2017,PSRM,Social Sciences
doi:10.7910/DVN/SLZ2OA,2018,PSRM,Social Sciences
doi:10.7910/DVN/O7HHKB,2019,harvard,Social Sciences
doi:10.7910/DVN/IYBIUP,2020,areeves,Social Sciences
doi:10.7910/DVN/UYXRI8,2019,ajps,Social Sciences
doi:10.7910/DVN/LBUXPQ,2017,jop,Social Sciences
doi:10.7910/DVN/8TB7GO,2019,king,Computer and Information Science;Mathematical Sciences;Social Sciences
doi:10.7910/DVN/AESELE,2020,harvard,Social Sciences
doi:10.7910/DVN/GQQUQU,2018,PSRM,Social Sciences
doi:10.7910/DVN/2IT7IF,2016,PSRM,Social Sciences
doi:10.7910/DVN/HMVALS,2018,cjip,Social Sciences
doi:10.7910/DVN/H7QR3Q,2018,PSRM,Social Sciences
doi:10.7910/DVN/PGQY2F,2018,pan,Social Sciences
doi:10.7910/DVN/KYQSY8,2020,ruralelectrificationcamps,Social Sciences
doi:10.7910/DVN/MFSZJH,2020,harvard,Social Sciences
doi:10.7910/DVN/L4IOHC,2018,jop,Social Sciences
doi:10.7910/DVN/YQSBOA,2020,ajps,Social Sciences
doi:10.7910/DVN/9IYGIX,2015,harvard,Social Sciences
doi:10.7910/DVN/8FK7PC,2020,BJPolS,Social Sciences
doi:10.7910/DVN/FV9AVG,2020,leeper,Social Sciences
doi:10.7910/DVN/ERX5D1,2016,harvard,Social Sciences
doi:10.7910/DVN/JYCAKM,2015,BJPolS,Social Sciences
doi:10.7910/DVN/PTPGED,2018,harvard,Computer and Information Science
doi:10.7910/DVN/JAOQSD,2018,jop,Social Sciences
doi:10.7910/DVN/Z4S2E8,2020,harvard,Social Sciences
doi:10.7910/DVN/HDREIJ,2018,harvard,Social Sciences
doi:10.7910/DVN/ZWOOHV,2017,internationalinteractions,Social Sciences
doi:10.7910/DVN/RHFPVV,2018,harvard,Social Sciences
doi:10.7910/DVN/ISEJMI,2020,ahlquist,Business and Management;Social Sciences
doi:10.7910/DVN/3KBCJF,2019,harvard,Social Sciences
doi:10.7910/DVN/K1TVXL,2017,BJPolS,Social Sciences
doi:10.7910/DVN/82GIUZ,2017,chanret,Social Sciences
doi:10.7910/DVN/VS3CG6,2017,jop,Social Sciences
doi:10.7910/DVN/R4LJIT,2020,harvard,Earth and Environmental Sciences;Social Sciences
doi:10.7910/DVN/AIP0V8,2016,harvard,Social Sciences
doi:10.7910/DVN/FMJDCD,2016,ajps,Social Sciences
doi:10.7910/DVN/LEFLDF,2019,harvard,Social Sciences
doi:10.7910/DVN/VUY8UI,2019,PSRM,Social Sciences
doi:10.7910/DVN/9SUPHG,2019,restat,Social Sciences
doi:10.7910/DVN/XAUYEM,2017,harvard,Social Sciences
doi:10.7910/DVN/J0GBTX,2020,the_review,Social Sciences
doi:10.7910/DVN/A8WOCU,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/GXX1TS,2019,borbademiranda,Social Sciences
doi:10.7910/DVN/EJWXAO,2020,BJPolS,Social Sciences
doi:10.7910/DVN/MIB7AG,2017,harvard,Social Sciences
doi:10.7910/DVN/XWLKFM,2016,pierskalla,Social Sciences
doi:10.7910/DVN/CVL1Q7,2017,xps,Social Sciences
doi:10.7910/DVN/MWJHD2,2018,gov2001,Medicine; Health and Life Sciences
doi:10.7910/DVN/9B8HQN,2019,the_review,Social Sciences
doi:10.7910/DVN/PUIROM,2019,jop,Social Sciences
doi:10.7910/DVN/MUFWVT,2016,mbuntaine,Social Sciences
doi:10.7910/DVN/AXCVFN,2016,PSRM,Social Sciences
doi:10.7910/DVN/3IC00L,2015,researchandpolitics,Social Sciences
doi:10.7910/DVN/XLVC6T,2020,xps,Social Sciences
doi:10.7910/DVN/74N5YH,2020,harvard,Social Sciences
doi:10.7910/DVN/L55JBL,2019,ps,Social Sciences
doi:10.7910/DVN/N9XP0Y,2019,RandyCragun,Social Sciences
doi:10.7910/DVN/SNQG8P,2017,jop,Social Sciences
doi:10.7910/DVN/FY7SVG,2019,polbehavior,Social Sciences
doi:10.7910/DVN/VNHM17,2018,the_review,Social Sciences
doi:10.7910/DVN/LMW871,2019,the_review,Social Sciences
doi:10.7910/DVN/2CS1VF,2018,jop,Social Sciences
doi:10.7910/DVN/0EVV7C,2016,harvard,Social Sciences
doi:10.7910/DVN/4QCWML,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/BLEBHI,2019,restat,Social Sciences
doi:10.7910/DVN/MPBGXL,2019,jop,Social Sciences
doi:10.7910/DVN/B47FTE,2018,isq,Social Sciences
doi:10.7910/DVN/NEZPZ6,2019,gov2001,Social Sciences
doi:10.7910/DVN/UX39M4,2018,polbehavior,Social Sciences
doi:10.7910/DVN/5DLNMA,2017,restat,Social Sciences
doi:10.7910/DVN/72GCGD,2018,isec,Social Sciences
doi:10.7910/DVN/VA3N1L,2019,harvard,Social Sciences
doi:10.7910/DVN/UEARI0,2020,ajps,Social Sciences
doi:10.7910/DVN/QXWX4Q,2017,governator,Social Sciences
doi:10.7910/DVN/J0G6K3,2017,BJPolS,Social Sciences
doi:10.7910/DVN/I6DUQY,2018,laronwilliams,Social Sciences
doi:10.7910/DVN/3M9OD8,2015,jop,Social Sciences
doi:10.7910/DVN/TRIEF2,2019,jop,Social Sciences
doi:10.7910/DVN/FQPO0E,2019,PSRM,Social Sciences
doi:10.7910/DVN/NAMZXJ,2019,jop,Social Sciences
doi:10.7910/DVN/VXVBNI,2017,polbehavior,Social Sciences
doi:10.7910/DVN/WDPAZV,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/GOYSFK,2018,researchandpolitics,Social Sciences
doi:10.7910/DVN/P4VOCQ,2019,harvard,Social Sciences
doi:10.7910/DVN/26584,2016,ajps,Social Sciences
doi:10.7910/DVN/0BPVCH,2020,PSRM,Social Sciences
doi:10.7910/DVN/YETMOY,2018,isq,Social Sciences
doi:10.7910/DVN/HGIHGC,2020,harvard,Business and Management;Social Sciences
doi:10.7910/DVN/UXIBNO,2017,dutchparl,Social Sciences
doi:10.7910/DVN/HCJ6OM,2016,harvard,Social Sciences
doi:10.7910/DVN/W8TQHB,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/LGBXWX,2019,lsq,Social Sciences
doi:10.7910/DVN/ELT9VD,2017,BJPolS,Engineering;Mathematical Sciences;Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/Q86FEQ,2019,fdfdferer323213asreadme2adme2,Social Sciences
doi:10.7910/DVN/EX7LIV,2019,harvard,Social Sciences
doi:10.7910/DVN/ZLGGEG,2018,harvard,Social Sciences
doi:10.7910/DVN/U3ZQYY,2020,IOJ,Social Sciences
doi:10.7910/DVN/BSYAK5,2018,gov2001,Social Sciences
doi:10.7910/DVN/H6RZA7,2018,BJPolS,Social Sciences
doi:10.7910/DVN/HIIMRK,2019,turning-out-but-not-voting,Social Sciences
doi:10.7910/DVN/I8XQPM,2018,isq,Social Sciences
doi:10.7910/DVN/0EIQXL,2020,ajps,Social Sciences
doi:10.7910/DVN/DSZHIP,2019,xps,Social Sciences
doi:10.7910/DVN/XX1KYY,2018,isq,Social Sciences
doi:10.7910/DVN/OW7M4S,2015,samharper,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/KDKPJQ,2018,isq,Social Sciences
doi:10.7910/DVN/UHWZXX,2019,sfm,Social Sciences
doi:10.7910/DVN/1LAK3R,2017,mleven,Social Sciences
doi:10.7910/DVN/NFXS5Z,2019,PSRM,Social Sciences
doi:10.7910/DVN/CTZNJV,2018,the_review,Social Sciences
doi:10.7910/DVN/Q8VDN0,2017,bullock,Social Sciences
doi:10.7910/DVN/FZCXVN,2017,harvard,Social Sciences
doi:10.7910/DVN/JQEAG2,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/3IHOLN,2017,polbehavior,Social Sciences
doi:10.7910/DVN/9V0LLB,2018,zucco,Social Sciences
doi:10.7910/DVN/RYNSDG,2018,ajps,Social Sciences
doi:10.7910/DVN/QC0RSU,2018,ajps,Social Sciences
doi:10.7910/DVN/IK3DGT,2019,PSRM,Social Sciences
doi:10.7910/DVN/F0NDJP,2016,harvard,Social Sciences
doi:10.7910/DVN/LD6NL8,2017,ajps,Social Sciences
doi:10.7910/DVN/Q8NRTS,2018,the_review,Social Sciences
doi:10.7910/DVN/NLMJIP,2017,harvard,Social Sciences
doi:10.7910/DVN/DEGC9Q,2019,PSRM,Social Sciences
doi:10.7910/DVN/GZRCCJ,2019,polbehavior,Social Sciences
doi:10.7910/DVN/3WGSR0,2017,researchandpolitics,Social Sciences
doi:10.7910/DVN/KVIJSY,2019,jop,Social Sciences
doi:10.7910/DVN/M98FXF,2020,jop,Social Sciences
doi:10.7910/DVN/KFQOCV,2019,policing_bias_bounds,Social Sciences
doi:10.7910/DVN/RYHXMW,2017,tomlouwerse,Social Sciences
doi:10.7910/DVN/QN94IG,2019,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/JQHLAT,2020,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/HS9HW3,2019,ajps,Social Sciences
doi:10.7910/DVN/KRKWK8,2015,pan,Social Sciences
doi:10.7910/DVN/URSNLH,2016,PSRM,Social Sciences
doi:10.7910/DVN/LUGBL1,2016,pan,Social Sciences
doi:10.7910/DVN/OU5RKQ,2016,harvard,Earth and Environmental Sciences
doi:10.7910/DVN/QVI6MS,2016,internationalinteractions,Social Sciences
doi:10.7910/DVN/XJ1UQK,2020,IOJ,Social Sciences
doi:10.7910/DVN/FROKE5,2020,perspectives,Social Sciences
doi:10.7910/DVN/PWVLTU,2015,CCAFSbaseline,Earth and Environmental Sciences;Agricultural Sciences;Medicine; Health and Life Sciences;Other;Social Sciences
doi:10.7910/DVN/YQNLWF,2017,polbehavior,Social Sciences
doi:10.7910/DVN/CLTYZP,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/PTGUWE,2019,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/OIBDLC,2019,harvard,Social Sciences
doi:10.7910/DVN/AZHTBT,2017,researchandpolitics,Social Sciences
doi:10.7910/DVN/F6LJP8,2015,jop,Social Sciences
doi:10.7910/DVN/T24N31,2020,BJPolS,Social Sciences
doi:10.7910/DVN/N1HOB1,2019,xps,Social Sciences
doi:10.7910/DVN/MHWTTS,2020,harvard,Earth and Environmental Sciences
