,doi,file,r32,r36,r40,result,success
2048,doi:10.7910/DVN/9QUMY3,cy_leader_merge.R,"Error in paste0(rep_dir, '/merging/cy_merging') :   object 'rep_dir' not found","Error in paste0(rep_dir, '/merging/cy_merging') :   object 'rep_dir' not found","Error in paste0(rep_dir, '/merging/cy_merging') :   object 'rep_dir' not found","Error in paste0(rep_dir, '/merging/cy_merging') :   object 'rep_dir' not found",0.0
2049,doi:10.7910/DVN/9QUMY3,unknown,time limit exceeded,,,,
2050,doi:10.7910/DVN/L2GSK6,1. BLM Data preparation code.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2051,doi:10.7910/DVN/L2GSK6,unknown,time limit exceeded,,time limit exceeded,,
2052,doi:10.7910/DVN/IYAX3D,power-analysis.R,Error in library('tidyverse') : there is no package called 'tidyverse',Error in library('lme4') : there is no package called 'lme4',Error in library('lme4') : there is no package called 'lme4',Error in library('lme4') : there is no package called 'lme4',0.0
2053,doi:10.7910/DVN/JTO5PG,process.R,"Error in eval(expr, envir, enclos) : could not find function 'read_csv'","Error in `$<-.data.frame`(`*tmp*`, ACT_MODEL, value = structure(integer(0), .Label = c('unknown',  :   replacement has 0 rows, data has 404",Error : Assigned data `factor(...)` must be compatible with existing data.✖ Existing data has 404 rows.✖ Assigned data has 0 rows.ℹ Only vectors of size 1 are recycled.,"Error in `$<-.data.frame`(`*tmp*`, ACT_MODEL, value = structure(integer(0), .Label = c('unknown',  :   replacement has 0 rows, data has 404",0.0
2054,doi:10.7910/DVN/RYNSDG,equivalence_replication_file.R,"Error in eval(expr, envir, enclos) : could not find function 'CairoPDF'","Error in CairoPDF(file = './dunning_nilekani_equiv_placebos.pdf', width = 12,  :   could not find function 'CairoPDF'","Error in CairoPDF(file = './dunning_nilekani_equiv_placebos.pdf', width = 12,  :   could not find function 'CairoPDF'","Error in CairoPDF(file = './dunning_nilekani_equiv_placebos.pdf', width = 12,  :   could not find function 'CairoPDF'",0.0
2055,doi:10.7910/DVN/THNDTR,HomolaTavits_ContactFears_Analysis_Germany.R,"Error in eval(expr, envir, enclos) : could not find function 'stargazer'","Error in stargazer(mod1, mod2, mod3, omit.stat = c('f', 'ser', 'bic',  :   could not find function 'stargazer'","Error in stargazer(mod1, mod2, mod3, omit.stat = c('f', 'ser', 'bic',  :   could not find function 'stargazer'","Error in stargazer(mod1, mod2, mod3, omit.stat = c('f', 'ser', 'bic',  :   could not find function 'stargazer'",0.0
2056,doi:10.7910/DVN/THNDTR,HomolaTavits_ContactFears_Analysis_US.R,success,success,success,success,1.0
2057,doi:10.7910/DVN/THNDTR,HomolaTavits_ContactFears_Appendix_Germany.R,"Error in xtable(describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'","Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'","Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'","Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'",0.0
2058,doi:10.7910/DVN/THNDTR,HomolaTavits_ContactFears_Appendix_US.R,"Error in xtable(describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'","Error in describe(data[, c('violence_com', 'violence_nat', 'econ_hh',  :   could not find function 'describe'",success,success,1.0
2059,doi:10.7910/DVN/THNDTR,HomolaTavits_ContactFears_interactions.R,success,success,success,success,1.0
2060,doi:10.7910/DVN/BZN2QC,DVM_supp.R,"Error in eval(expr, envir, enclos) :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', 'CMCSA', 'CHTR', 'T', 'VZ', 'CTL', 'GOOGL',  :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', 'CMCSA', 'CHTR', 'T', 'VZ', 'CTL', 'GOOGL',  :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', 'CMCSA', 'CHTR', 'T', 'VZ', 'CTL', 'GOOGL',  :   could not find function 'pdfetch_YAHOO'",0.0
2061,doi:10.7910/DVN/BZN2QC,Data_processing.R,success,success,success,success,1.0
2062,doi:10.7910/DVN/BZN2QC,FF_supp.R,"Error in eval(expr, envir, enclos) : could not find function 'read_csv'",Error in read_csv('../ImportableData/FamaFrenchImport.csv') :   could not find function 'read_csv',Error in read_csv('../ImportableData/FamaFrenchImport.csv') :   could not find function 'read_csv',Error in read_csv('../ImportableData/FamaFrenchImport.csv') :   could not find function 'read_csv',0.0
2063,doi:10.7910/DVN/BZN2QC,Fetch_data.R,"Error in eval(expr, envir, enclos) :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', '^NDXT', 'CMCSA', 'CHTR', 'T', 'VZ',  :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', '^NDXT', 'CMCSA', 'CHTR', 'T', 'VZ',  :   could not find function 'pdfetch_YAHOO'","Error in pdfetch_YAHOO(c('^GSPC', '^NDXT', 'CMCSA', 'CHTR', 'T', 'VZ',  :   could not find function 'pdfetch_YAHOO'",0.0
2064,doi:10.7910/DVN/BZN2QC,weighted_index.R,"Error in eval(expr, envir, enclos) : could not find function 'read_csv'",Error in library(pdfetch) : there is no package called 'pdfetch',Error in read_csv('../ImportableData/MC.pricemat.csv') :   could not find function 'read_csv',Error in library(pdfetch) : there is no package called 'pdfetch',0.0
2065,doi:10.7910/DVN/1ANAKP,code.R,"Error in eval(expr, envir, enclos) : could not find function 'plm'","Error in plm(price ~ rpsprop + dere + ipp + isp + gasPrice, data = POLICYII,  :   could not find function 'plm'","Error in plm(price ~ rpsprop + dere + ipp + isp + gasPrice, data = POLICYII,  :   could not find function 'plm'","Error in plm(price ~ rpsprop + dere + ipp + isp + gasPrice, data = POLICYII,  :   could not find function 'plm'",0.0
2066,doi:10.7910/DVN/OI4U3L,BCCN_ReplicationRun.R,"Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'","Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'","Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'","Error in xy.coords(x, y, xlabel, ylabel, log) :   'x' is a list, but does not have components 'x' and 'y'",0.0
2067,doi:10.7910/DVN/OI4U3L,initialise_model.R,success,success,success,success,1.0
2068,doi:10.7910/DVN/OI4U3L,likelihoods_model.R,success,success,success,success,1.0
2069,doi:10.7910/DVN/OI4U3L,mixtures_of_ergms_model.R,success,success,success,success,1.0
2070,doi:10.7910/DVN/OI4U3L,start_model.R,"Error in eval(expr, envir, enclos) :   could not find function 'as.matrix.network'",success,success,success,1.0
2071,doi:10.7910/DVN/OI4U3L,terms_ego_ergm_model.R,"Error in paste(ego.terms, collapse = '+') : object 'ego.terms' not found","Error in paste(ego.terms, collapse = '+') : object 'ego.terms' not found","Error in paste(ego.terms, collapse = '+') : object 'ego.terms' not found","Error in paste(ego.terms, collapse = '+') : object 'ego.terms' not found",0.0
2072,doi:10.7910/DVN/UVTZZV,moore and shellman replication - Figure A2.R,"Error in eval(expr, envir, enclos) : could not find function 'read_csv'","Error in plot.window(xlim, ylim, log = log, ...) :   need finite 'ylim' values","Error in plot.window(xlim, ylim, log = log, ...) :   need finite 'ylim' values","Error in plot.window(xlim, ylim, log = log, ...) :   need finite 'ylim' values",0.0
2073,doi:10.7910/DVN/UVTZZV,replication for figures.R,"Error in eval(expr, envir, enclos) : could not find function 'read_dta'","Error in countrycode(out.of.sample$ccode, 'cown', 'country.name') :   could not find function 'countrycode'","Error in countrycode(out.of.sample$ccode, 'cown', 'country.name') :   could not find function 'countrycode'","Error in countrycode(out.of.sample$ccode, 'cown', 'country.name') :   could not find function 'countrycode'",0.0
2074,doi:10.7910/DVN/LVYOKM,example_code.r,success,success,success,success,1.0
2077,doi:10.7910/DVN/7FYH0T,Replication_Script.R,Error in read.dta('BES200506080910.dta') :   unable to open file: 'No such file or directory',Error in makeRestartList(...) : reached elapsed time limit,,,
2078,doi:10.7910/DVN/7FYH0T,corstarsl.R,success,success,success,success,1.0
2079,doi:10.7910/DVN/PMKK9S,01_MACRO_CULT_FINAL copy.R,"Error in eval(expr, envir, enclos) : could not find function 'rcorr'","Error in rcorr(as.matrix(COMBINEDPISA[, 2:14])) :   could not find function 'rcorr'","Error in rcorr(as.matrix(COMBINEDPISA[, 2:14])) :   could not find function 'rcorr'","Error in rcorr(as.matrix(COMBINEDPISA[, 2:14])) :   could not find function 'rcorr'",0.0
2080,doi:10.7910/DVN/PMKK9S,unknown,time limit exceeded,time limit exceeded,time limit exceeded,,
2081,doi:10.7910/DVN/BZ5BLZ,Replication.R,Error in dev.off() : cannot shut down device 1 (the null device),"Error in as.spam(matrix(0, n, num.elections)) :   could not find function 'as.spam'",,,
2082,doi:10.7910/DVN/PUIVRF,load.R,success,success,success,success,1.0
2083,doi:10.7910/DVN/PUIVRF,table10-11.R,Error in diag(sandwich(i)) : could not find function 'sandwich',Error in sandwich(i) : could not find function 'sandwich',Error in sandwich(i) : could not find function 'sandwich',Error in sandwich(i) : could not find function 'sandwich',0.0
2084,doi:10.7910/DVN/KPS1KY,APSR_Analysis_RScript.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in read.dta13('##PATH##/Data/populism_touched.dta') :   could not find function 'read.dta13',Error in read.dta13('##PATH##/Data/populism_touched.dta') :   could not find function 'read.dta13',Error in read.dta13('##PATH##/Data/populism_touched.dta') :   could not find function 'read.dta13',0.0
2085,doi:10.7910/DVN/KPS1KY,R_Script_Dataset_Conversion_to_STATA.R,"Error in library(p, character.only = T) :   there is no package called 'readstata13'","Error in library(p, character.only = T) :   there is no package called 'lavaan'","Error in write.dta(data, 'D:/Dropbox (Privat)/populism_concept and measurement/Data/Silva/data.merged_mar17.dta') :   unable to open file for writing: 'No such file or directory'","Error in library(p, character.only = T) :   there is no package called 'lavaan'",0.0
2086,doi:10.7910/DVN/KPS1KY,activate.R,success,success,success,success,1.0
2087,doi:10.7910/DVN/KPS1KY,ci.R,success,success,success,success,1.0
2088,doi:10.7910/DVN/KPS1KY,collaborating.R,success,success,success,success,1.0
2089,doi:10.7910/DVN/KPS1KY,docker.R,Error in loadNamespace(name) : there is no package called 'renv',Error in loadNamespace(name) : there is no package called 'renv',Error in loadNamespace(name) : there is no package called 'renv',Error in loadNamespace(name) : there is no package called 'renv',0.0
2090,doi:10.7910/DVN/KPS1KY,local-sources.R,success,success,success,success,1.0
2091,doi:10.7910/DVN/KPS1KY,lockfile.R,success,success,success,success,1.0
2092,doi:10.7910/DVN/KPS1KY,r_sem.R,success,success,success,success,1.0
2093,doi:10.7910/DVN/KPS1KY,renv.R,success,success,success,success,1.0
2094,doi:10.7910/DVN/UXIBNO,combinedFunctions.R,success,success,success,success,1.0
2095,doi:10.7910/DVN/UXIBNO,examples.R,"Error in library(pscl, quietly = TRUE) :   there is no package called 'pscl'","Error in library(oc, quietly = TRUE) : there is no package called 'oc'","Error in library(oc, quietly = TRUE) : there is no package called 'oc'","Error in library(oc, quietly = TRUE) : there is no package called 'oc'",0.0
2096,doi:10.7910/DVN/6NVI9C,aec_replication_JEPS.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",0.0
2097,doi:10.7910/DVN/CRLCQG,scripit.R,"Error in ifelse(!require(pwr), install.packages('pwr', dependencies = TRUE),  :   replacement has length zero","Error in ans[ypos] <- rep(yes, length.out = len)[ypos] :   replacement has length zero","Error in ans[ypos] <- rep(yes, length.out = len)[ypos] :   replacement has length zero","Error in ans[ypos] <- rep(yes, length.out = len)[ypos] :   replacement has length zero",0.0
2098,doi:10.7910/DVN/MZIKCS,nonstmJoPReplication.R,Error in fread('../data/fig2_public.csv') :   File is empty: /dev/shm/file2d5683ecc4,Error in fread('../data/fig2_public.csv') :   File '../data/fig2_public.csv' does not exist or is non-readable. getwd()=='/usr/workdir',Error in fread('../data/fig2_public.csv') :   File '../data/fig2_public.csv' does not exist or is non-readable. getwd()=='/usr/workdir',Error in fread('../data/fig2_public.csv') :   File '../data/fig2_public.csv' does not exist or is non-readable. getwd()=='/usr/workdir',0.0
2099,doi:10.7910/DVN/MZIKCS,unknown,time limit exceeded,,,,
2100,doi:10.7910/DVN/RRF7EU,unknown,time limit exceeded,,,,
2101,doi:10.7910/DVN/0PTKDP,figure_1_script.R,"Error in eval(expr, envir, enclos) : object 'all.dd.rate' not found","Error in eval(ei, envir) : object 'all.dd.rate' not found","Error in eval(ei, envir) : object 'all.dd.rate' not found","Error in eval(ei, envir) : object 'all.dd.rate' not found",0.0
2102,doi:10.7910/DVN/0PTKDP,figure_2_script.R,success,success,success,success,1.0
2103,doi:10.7910/DVN/0PTKDP,figure_3a_script.R,"Error in eval(expr, envir, enclos) : could not find function 'attach.all'",Error in attach.all(bailey) : could not find function 'attach.all',Error in attach.all(bailey) : could not find function 'attach.all',Error in attach.all(bailey) : could not find function 'attach.all',0.0
2104,doi:10.7910/DVN/0PTKDP,figure_3b_script.R,"Error in eval(expr, envir, enclos) : could not find function 'attach.all'","Error in attach.all(partisan.comp.merge, overwrite = T) :   could not find function 'attach.all'","Error in attach.all(partisan.comp.merge, overwrite = T) :   could not find function 'attach.all'","Error in attach.all(partisan.comp.merge, overwrite = T) :   could not find function 'attach.all'",0.0
2105,doi:10.7910/DVN/Q5PV4U,02_Data_Cleaning.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2106,doi:10.7910/DVN/Q5PV4U,03_Analysis_Code.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",Error in makeRestartList(...) : reached elapsed time limit,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",Error in makeRestartList(...) : reached elapsed time limit,0.0
2107,doi:10.7910/DVN/Q5PV4U,04_Theory_Graphs.R,"Error in (function (cr, rho)  : could not find function 'pmvnorm'","Error in pmvnorm(lower = c(-Inf, -Inf), upper = c(-ar + TP, -ar + TC),  :   could not find function 'pmvnorm'","Error in pmvnorm(lower = c(-Inf, -Inf), upper = c(-ar + TP, -ar + TC),  :   could not find function 'pmvnorm'","Error in pmvnorm(lower = c(-Inf, -Inf), upper = c(-ar + TP, -ar + TC),  :   could not find function 'pmvnorm'",0.0
2108,doi:10.7910/DVN/X7J1WC,EBCR_ReplicationScript.R,Error in url('https://icr.ethz.ch/data/epr/acd2epr/ACD2EPR-2014.csv') :   https:// URLs are not supported,Error in makeRestartList(...) : reached elapsed time limit,,,
2109,doi:10.7910/DVN/PUIROM,unknown,time limit exceeded,,,,
2110,doi:10.7910/DVN/RWIHSL,AppendixFigures.R,"Error in theme(axis.text.y = element_text(size = 12, face = 'bold'), axis.text.x = element_text(size = 12,  :   argument is missing, with no default",Error in makeRestartList(...) : reached elapsed time limit,,,
2111,doi:10.7910/DVN/RWIHSL,MainFigures.R,"Error in theme(axis.text.y = element_text(size = 12, face = 'bold'), axis.text.x = element_text(size = 12,  :   argument is missing, with no default",,,,
2112,doi:10.7910/DVN/4LIO9F,mi_replication.R,Error in set.seed(1234 * runNum) : supplied seed is not a valid integer,Error in set.seed(1234 * runNum) : supplied seed is not a valid integer,Error in set.seed(1234 * runNum) : supplied seed is not a valid integer,Error in set.seed(1234 * runNum) : supplied seed is not a valid integer,0.0
2113,doi:10.7910/DVN/4LIO9F,paper_replication.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",0.0
2114,doi:10.7910/DVN/ELZZ8V,unknown,time limit exceeded,,time limit exceeded,,
2115,doi:10.7910/DVN/ORDLXK,ibrd-rep-161111.R,"Error in pdf(file = paste('rd-out/densitytest.pdf', sep = ''), height = 5,  :   cannot open file 'rd-out/densitytest.pdf'","Error in pdf(file = paste('rd-out/densitytest.pdf', sep = ''), height = 5,  :   cannot open file 'rd-out/densitytest.pdf'","Error in pdf(file = paste('rd-out/densitytest.pdf', sep = ''), height = 5,  :   cannot open file 'rd-out/densitytest.pdf'","Error in pdf(file = paste('rd-out/densitytest.pdf', sep = ''), height = 5,  :   cannot open file 'rd-out/densitytest.pdf'",0.0
2116,doi:10.7910/DVN/EZSJ1S,AJPS_Replication_Code.R,"Error in eval(expr, envir, enclos) : could not find function 'stargazer'","Error in eval(predvars, data, env) : object 'period2' not found","Error in eval(predvars, data, env) : object 'period2' not found","Error in eval(predvars, data, env) : object 'period2' not found",0.0
2117,doi:10.7910/DVN/EZSJ1S,AJPS_Replication_Code_Appendix.R,"Error in eval(expr, envir, enclos) :   could not find function 'integrate.xy'","Error in integrate.xy(den1$x, den1$x * den1$y) :   could not find function 'integrate.xy'","Error in integrate.xy(den1$x, den1$x * den1$y) :   could not find function 'integrate.xy'","Error in integrate.xy(den1$x, den1$x * den1$y) :   could not find function 'integrate.xy'",0.0
2118,doi:10.7910/DVN/LKFOMW,DataAnalysis.R,"Error in read.spss('data/CCES12_MIA_OUTPUT_20130621.sav', to.data.frame = TRUE) :   unable to open file: 'No such file or directory'",Error in makeRestartList(...) : reached elapsed time limit,,,
2119,doi:10.7910/DVN/6NDYHC,analysis.R,"Error in eval(expr, envir, enclos) : could not find function 'loadfonts'",Error in loadfonts() : could not find function 'loadfonts',Error in loadfonts() : could not find function 'loadfonts',Error in loadfonts() : could not find function 'loadfonts',0.0
2120,doi:10.7910/DVN/6NDYHC,test-senate-93.R,"Error in eval(expr, envir, enclos) :   could not find function 'code_party_calls'","Error in code_party_calls(sen93, pval_threshold = 0.05, type = 'lm') :   could not find function 'code_party_calls'","Error in code_party_calls(sen93, pval_threshold = 0.05, type = 'lm') :   could not find function 'code_party_calls'","Error in code_party_calls(sen93, pval_threshold = 0.05, type = 'lm') :   could not find function 'code_party_calls'",0.0
2121,doi:10.7910/DVN/IK3DGT,Code Replication Value of a Seat PSRM.R,"Error in eval(expr, envir, enclos) : could not find function 'rdrobust'",Error in makeRestartList(...) : reached elapsed time limit,,,
2122,doi:10.7910/DVN/XRP3IU,unknown,time limit exceeded,,,,
2123,doi:10.7910/DVN/M0NRLN,Farag_2020_Replication_Mass Elite Differences in Tunisia.R,success,success,success,success,1.0
2124,doi:10.7910/DVN/VSS3KO,elite_survey_analysis.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2125,doi:10.7910/DVN/VSS3KO,voter_survey_analysis.R,Error in source(r_file) : invalid multibyte character in parser at line 6,Error in source(r_file) : invalid multibyte character in parser at line 6,Error in source(r_file) : invalid multibyte character in parser at line 6,Error in source(r_file) : invalid multibyte character in parser at line 6,0.0
2126,doi:10.7910/DVN/L2IOZO,regpat-network-example.r,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2127,doi:10.7910/DVN/WG8VCK,fig1.r,"Error in eval(expr, envir, enclos) : could not find function 'import'",Error in import('lib.csv') : could not find function 'import',Error in import('lib.csv') : could not find function 'import',Error in import('lib.csv') : could not find function 'import',0.0
2128,doi:10.7910/DVN/MLUEAJ,magni-poncedeleon-JEPS2020.R,"Error in file(file, 'rt') : cannot open the connection","Error in gettext(fmt, domain = domain) : reached elapsed time limit",Error in makeRestartList(...) : reached elapsed time limit,"Error in gettext(fmt, domain = domain) : reached elapsed time limit",0.0
2129,doi:10.7910/DVN/GS8IFM,unknown,time limit exceeded,,,,
2130,doi:10.7910/DVN/1MGPNZ,program-1.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2131,doi:10.7910/DVN/ZJTLSW,unknown,time limit exceeded,,time limit exceeded,,
2132,doi:10.7910/DVN/ITVLIK,Code.R,Error in read.dta('Data/all data for CH.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Data/all data for CH.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Data/all data for CH.dta') :   unable to open file: 'No such file or directory',Error in read.dta('Data/all data for CH.dta') :   unable to open file: 'No such file or directory',0.0
2133,doi:10.7910/DVN/GJTFKQ,rp_fig1-1.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",,,
2134,doi:10.7910/DVN/GJTFKQ,rp_fig2-1.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",,,
2135,doi:10.7910/DVN/GJTFKQ,rp_tabA1.R,"Error in file(file, 'rt') : cannot open the connection",Error in makeRestartList(...) : reached elapsed time limit,,,
2136,doi:10.7910/DVN/ORTDUM,Figures_code for replication.R,success,,,success,1.0
2137,doi:10.7910/DVN/ORTDUM,Tables_code for replication.R,success,,,success,1.0
2138,doi:10.7910/DVN/P4VOCQ,interplotISQ.R,"Error in eval(expr, envir, enclos) : object 'purge3' not found",Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,Error in makeRestartList(...) : reached elapsed time limit,0.0
2139,doi:10.7910/DVN/9WPVEY,Tremblay_Waring_analysis.R,"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2140,doi:10.7910/DVN/VBYWOP,congress_tweets_functions.R,success,success,success,success,1.0
2141,doi:10.7910/DVN/VBYWOP,unknown,time limit exceeded,,,,
2142,doi:10.7910/DVN/M7JKP6,Replication Code.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in makeRestartList(...) : reached elapsed time limit,,,
2143,doi:10.7910/DVN/QFWIHD,appendix-replication-file.R,"Error in eval(expr, envir, enclos) : could not find function 'amce'",Error in makeRestartList(...) : reached elapsed time limit,,,
2144,doi:10.7910/DVN/LBO6KC,missing_left_descriptive.R,"Error in element_text(margin = margin(10, 10, 10, 10)) :   unused argument (margin = margin(10, 10, 10, 10))",success,success,success,1.0
2145,doi:10.7910/DVN/2QCPOI,__replic.gps.2014.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",Error in makeRestartList(...) : reached elapsed time limit,,,
2146,doi:10.7910/DVN/2QCPOI,__replic_2014_beps.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",,,
2147,doi:10.7910/DVN/2QCPOI,__replic_2014_ibope.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",,,
2148,doi:10.7910/DVN/2QCPOI,__replic_simmulation.R,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",,,
2149,doi:10.7910/DVN/EHR4QG,unknown,time limit exceeded,,time limit exceeded,,
2150,doi:10.7910/DVN/Y2EMIO,unknown,time limit exceeded,download error,time limit exceeded,,
2151,doi:10.7910/DVN/ZLEFIB,unknown,time limit exceeded,,,,
2154,doi:10.7910/DVN/PBQRGQ,replication_partycompetence_v2.R,"Error in eval(expr, envir, enclos) : could not find function 'amce'",Error in makeRestartList(...) : reached elapsed time limit,,,
2155,doi:10.7910/DVN/HVRCKM,APSR_protests3_1_rep.R,Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2156,doi:10.7910/DVN/HVRCKM,carter_protest_data_prep3.R,Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2157,doi:10.7910/DVN/HVRCKM,dca_protest_prep3.R,Error in library(janitor) : there is no package called 'janitor',Error in library(janitor) : there is no package called 'janitor',Error in library(janitor) : there is no package called 'janitor',Error in library(janitor) : there is no package called 'janitor',0.0
2158,doi:10.7910/DVN/HVRCKM,demographic_data_prep3.R,Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2159,doi:10.7910/DVN/HVRCKM,electoral_data_prep3.R,Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2160,doi:10.7910/DVN/HVRCKM,make_script_rep.R,Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2161,doi:10.7910/DVN/HVRCKM,source_libraries.R,Error in library(tidyverse) : there is no package called 'tidyverse',Error in makeRestartList(...) : reached elapsed time limit,Error in library(tidytext) : there is no package called 'tidytext',Error in makeRestartList(...) : reached elapsed time limit,0.0
2162,doi:10.7910/DVN/HVRCKM,spatial_panel_models3.R,Error in library(tidyverse) : there is no package called 'tidyverse',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',Error in library(here) : there is no package called 'here',0.0
2163,doi:10.7910/DVN/HVRCKM,summary_stats_revised.R,Error in library(here) : there is no package called 'here',Error in here('data/summary_stats.Rdata') :   could not find function 'here',Error in here('data/summary_stats.Rdata') :   could not find function 'here',Error in here('data/summary_stats.Rdata') :   could not find function 'here',0.0
2164,doi:10.7910/DVN/HVRCKM,summary_stats_revised_extract.R,"Error in readLines(here('code/summary_stats_revised_extract_matched_full_table.tex'),  :   could not find function 'here'",Error in here('code/summary_stats_revised_extract_matched_full_table.tex') :   could not find function 'here',Error in here('code/summary_stats_revised_extract_matched_full_table.tex') :   could not find function 'here',Error in here('code/summary_stats_revised_extract_matched_full_table.tex') :   could not find function 'here',0.0
2165,doi:10.7910/DVN/HVRCKM,weather_precip_station_merge3.R,Error in library(here) : there is no package called 'here',"Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection","Error in file(file, 'rt') : cannot open the connection",0.0
2166,doi:10.7910/DVN/FP8THH,Boxplots by Continent.R,"Error in eval(expr, envir, enclos) : could not find function 'textxy'",success,success,success,1.0
2167,doi:10.7910/DVN/FP8THH,Density Plots.R,success,,,success,1.0
2168,doi:10.7910/DVN/FP8THH,Imputed Value Simulations.R,success,,,success,1.0
2169,doi:10.7910/DVN/FP8THH,ivregs.R,"Error in eval(expr, envir, enclos) : could not find function 'ggplot'",,,,
2170,doi:10.7910/DVN/FP8THH,replication.R,"Error in eval(expr, envir, enclos) :   could not find function 'joinCountryData2Map'",,,,
2171,doi:10.7910/DVN/UQOMMF,rep1.R,Error : could not find function 'coeftest',"Error in coeftest(lone.lm1, vcov = vcovHC(lone.lm1)) :   could not find function 'coeftest'","Error in coeftest(lone.lm1, vcov = vcovHC(lone.lm1)) :   could not find function 'coeftest'","Error in coeftest(lone.lm1, vcov = vcovHC(lone.lm1)) :   could not find function 'coeftest'",0.0
2172,doi:10.7910/DVN/UQOMMF,rep2.R,success,success,success,success,1.0
2173,doi:10.7910/DVN/UQOMMF,rep3.R,success,success,success,success,1.0
