,doi,success,publicationDate,publisher,subject,type,name
444,doi:10.7910/DVN/CF44OW,1.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
445,doi:10.7910/DVN/CFPBRI,,2017,peterbucchianeri,Social Sciences,RESEARCHERS,Peter Bucchianeri Dataverse
446,doi:10.7910/DVN/CFT901,0.0,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
447,doi:10.7910/DVN/CFTMK2,0.0,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
448,doi:10.7910/DVN/CGH7BR,1.0,2015,jtchatagnier,Social Sciences,RESEARCHERS,J. Tyson Chatagnier Dataverse
449,doi:10.7910/DVN/CI1J5T,0.0,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
450,doi:10.7910/DVN/CJBG5J,,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
451,doi:10.7910/DVN/CJZB8X,1.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
452,doi:10.7910/DVN/CKCTJS,0.0,2015,bk,Social Sciences,RESEARCHERS,Byungkyu Lee Dataverse
453,doi:10.7910/DVN/CKLIY1,0.0,2018,laughterperception,Social Sciences,RESEARCH_PROJECTS,Perception of spontaneous and volitional laughter across 21 societies
454,doi:10.7910/DVN/CKTAZX,,2018,SBIR-STTR_Data,Social Sciences,RESEARCH_PROJECTS,Investigation of  Budget Changes' Effects on Program Implementation of the SBIR/STTR Program 
455,doi:10.7910/DVN/CL183T,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
456,doi:10.7910/DVN/CLIGCI,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
457,doi:10.7910/DVN/CLMQ8E,,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
458,doi:10.7910/DVN/CLOTQP,,2019,lsq,Social Sciences,JOURNALS,Legislative Studies Quarterly
459,doi:10.7910/DVN/CLTYZP,0.0,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
460,doi:10.7910/DVN/CMCZBR,0.0,2020,jop,Law;Social Sciences,JOURNALS,The Journal of Politics Dataverse
461,doi:10.7910/DVN/CMK05F,0.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
462,doi:10.7910/DVN/CMKMGF,,2020,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
463,doi:10.7910/DVN/CMQYMO,,2019,TRABALHO--FINAL--AD--UFPE,Social Sciences,RESEARCHERS,Karla Godoy da Costa Lima Dataverse
464,doi:10.7910/DVN/CNQUN3,0.0,2019,JAERE,Social Sciences,JOURNALS,Journal of the Association of Environmental and Resource Economists Dataverse
465,doi:10.7910/DVN/CORRXG,0.0,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
466,doi:10.7910/DVN/COXYJQ,1.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
467,doi:10.7910/DVN/COZDRV,1.0,2016,ktmccabetmccabemkt,Social Sciences,RESEARCHERS,K McCabe Dataverse
468,doi:10.7910/DVN/CPVIOF,,2019,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
469,doi:10.7910/DVN/CQXHTH,0.0,2018,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
470,doi:10.7910/DVN/CRLCQG,0.0,2020,harvard,Business and Management,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
471,doi:10.7910/DVN/CRLKIF,1.0,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
472,doi:10.7910/DVN/CRPAA8,,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
473,doi:10.7910/DVN/CSNTTG,0.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
474,doi:10.7910/DVN/CSX1VL,1.0,2019,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
475,doi:10.7910/DVN/CT9AFP,,2016,shanepsingh,Social Sciences,RESEARCHERS,Shane Singh's Dataverse
476,doi:10.7910/DVN/CTMZX8,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
477,doi:10.7910/DVN/CTZNJV,,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
478,doi:10.7910/DVN/CUBQSN,1.0,2017,mattblackwell,Social Sciences,RESEARCHERS,Matthew Blackwell Dataverse
479,doi:10.7910/DVN/CV9AYE,1.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
480,doi:10.7910/DVN/CVL1Q7,1.0,2017,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
481,doi:10.7910/DVN/CXSECU,1.0,2020,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
482,doi:10.7910/DVN/CY7YWE,0.0,2020,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
483,doi:10.7910/DVN/CZYUJH,1.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
484,doi:10.7910/DVN/D5CQA7,,2017,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
485,doi:10.7910/DVN/D5DEHM,1.0,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
486,doi:10.7910/DVN/D5VRDE,1.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
487,doi:10.7910/DVN/D5WS0Y,,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
488,doi:10.7910/DVN/D6HU1J,1.0,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
489,doi:10.7910/DVN/D8S4UY,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
490,doi:10.7910/DVN/D9FAZL,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
491,doi:10.7910/DVN/D9H5LH,,2018,lsq,Social Sciences,JOURNALS,Legislative Studies Quarterly
492,doi:10.7910/DVN/DAC9NX,0.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
493,doi:10.7910/DVN/DAE3PG,1.0,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
494,doi:10.7910/DVN/DAPJMB,1.0,2015,beber,Social Sciences,RESEARCHERS,Bernd Beber Dataverse
495,doi:10.7910/DVN/DAR56O,0.0,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
496,doi:10.7910/DVN/DBSEQC,,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
497,doi:10.7910/DVN/DCKXHT,0.0,2016,mkscroggs,Social Sciences,RESEARCHERS,Matt K. Scroggs Dataverse
498,doi:10.7910/DVN/DCYDHS,,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
499,doi:10.7910/DVN/DDIWGS,0.0,2019,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
500,doi:10.7910/DVN/DDQDMS,1.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
501,doi:10.7910/DVN/DDWWJW,1.0,2018,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
502,doi:10.7910/DVN/DE0OVP,1.0,2018,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
503,doi:10.7910/DVN/DE8THR,0.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
504,doi:10.7910/DVN/DF4DFH,1.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
505,doi:10.7910/DVN/DF9UXB,1.0,2019,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
506,doi:10.7910/DVN/DFEH8S,0.0,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
507,doi:10.7910/DVN/DFRSKZ,1.0,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
508,doi:10.7910/DVN/DH1IUI,,2015,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
509,doi:10.7910/DVN/DI5O9H,1.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
510,doi:10.7910/DVN/DIIQF7,0.0,2016,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
511,doi:10.7910/DVN/DKKP4I,1.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
512,doi:10.7910/DVN/DL4JY8,0.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
513,doi:10.7910/DVN/DMMQ4L,,2015,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
514,doi:10.7910/DVN/DMWWS5,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
515,doi:10.7910/DVN/DNWDSR,,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
516,doi:10.7910/DVN/DO43V5,,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
517,doi:10.7910/DVN/DOHYPR,,2018,tylerreny,Social Sciences,RESEARCHERS,Tyler Reny Dataverse
518,doi:10.7910/DVN/DOP4UB,1.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
519,doi:10.7910/DVN/DQCFUN,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
520,doi:10.7910/DVN/DRVBZY,,2019,michaelaklin,Social Sciences,RESEARCH_GROUP,Michaël Aklin Dataverse
521,doi:10.7910/DVN/DSDD7W,1.0,2016,mattblackwell,Social Sciences,RESEARCHERS,Matthew Blackwell Dataverse
522,doi:10.7910/DVN/DSHYUJ,0.0,2016,fbailo,Social Sciences,UNCATEGORIZED,Francesco Bailo Dataverse
523,doi:10.7910/DVN/DSZHIP,0.0,2019,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
524,doi:10.7910/DVN/DTFR60,0.0,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
525,doi:10.7910/DVN/DUW1QY,0.0,2019,jop,Arts and Humanities,JOURNALS,The Journal of Politics Dataverse
526,doi:10.7910/DVN/DVMT2R,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
527,doi:10.7910/DVN/DW7Y5W,0.0,2019,eused,Social Sciences,RESEARCH_PROJECTS,European Union Sectoral Emissions Data (EUSED)
528,doi:10.7910/DVN/DX4HLQ,0.0,2016,FPA,Social Sciences,JOURNALS,Foreign Policy Analysis Dataverse
529,doi:10.7910/DVN/DXDQV3,1.0,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
530,doi:10.7910/DVN/DY1282,1.0,2017,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
531,doi:10.7910/DVN/DZ1NFG,0.0,2019,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
532,doi:10.7910/DVN/DZ6XJH,0.0,2019,harvard,Arts and Humanities,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
533,doi:10.7910/DVN/DZ7JLC,,2017,sfm,Social Sciences,RESEARCHERS,Seraphine F. Maerz Dataverse
534,doi:10.7910/DVN/DZQDQO,1.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
535,doi:10.7910/DVN/E0LSH2,0.0,2019,harvard,Arts and Humanities;Computer and Information Science;Law;Mathematical Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
536,doi:10.7910/DVN/E2187A,0.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
537,doi:10.7910/DVN/E3FDAV,,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
538,doi:10.7910/DVN/E43MOQ,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
539,doi:10.7910/DVN/E6D8RI,,2020,Gehlbach,Social Sciences,UNCATEGORIZED,Scott Gehlbach Dataverse
540,doi:10.7910/DVN/EA011Q,,2019,maxgroemping,Social Sciences,RESEARCHERS,Max Grömping Dataverse
541,doi:10.7910/DVN/EAI1BB,0.0,2018,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
542,doi:10.7910/DVN/EAL0CY,0.0,2019,internationalinteractions,Computer and Information Science;Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
543,doi:10.7910/DVN/EAXEET,0.0,2019,txtlab,Arts and Humanities,LABORATORY,txtLAB
544,doi:10.7910/DVN/EAXI4K,,2015,REVAMPNottingham,Social Sciences,UNCATEGORIZED,Rethinking the Value of Advanced Mathematics Participation Project Dataverse
545,doi:10.7910/DVN/EBBP1O,,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
546,doi:10.7910/DVN/EBF7XW,1.0,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
547,doi:10.7910/DVN/ECBF7Y,,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
548,doi:10.7910/DVN/ECGSUB,,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
549,doi:10.7910/DVN/EDGRDC,0.0,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
550,doi:10.7910/DVN/EE7UJZ,1.0,2016,colgate,Business and Management,TEACHING_COURSES,Colgate Dataverse
551,doi:10.7910/DVN/EEARKA,1.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
552,doi:10.7910/DVN/EEFBL5,1.0,2018,fbailo,Social Sciences,UNCATEGORIZED,Francesco Bailo Dataverse
553,doi:10.7910/DVN/EEMRS9,0.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
554,doi:10.7910/DVN/EEP5MT,1.0,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
555,doi:10.7910/DVN/EEUTHP,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
556,doi:10.7910/DVN/EEZBDE,1.0,2019,uw_comm_luyuema_general_exam_method_,Other,RESEARCH_PROJECTS,Luyue Ma Dataverse
557,doi:10.7910/DVN/EHGCOF,,2017,GCP,Social Sciences,RESEARCH_PROJECTS,Ground Campaign Project Dataverse
558,doi:10.7910/DVN/EHR4QG,1.0,2016,srm,Computer and Information Science;Social Sciences,RESEARCH_PROJECTS,SRM Dataverse
559,doi:10.7910/DVN/EHRNTO,1.0,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
560,doi:10.7910/DVN/EHVYNN,0.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
561,doi:10.7910/DVN/EHWM14,,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
562,doi:10.7910/DVN/EJSXMK,1.0,2016,heireport_pm10,Earth and Environmental Sciences;Mathematical Sciences;Medicine; Health and Life Sciences,RESEARCH_PROJECTS,Case Study 1: PM10 Nonattainment Dataverse
563,doi:10.7910/DVN/EJWXAO,1.0,2020,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
564,doi:10.7910/DVN/EKNEIH,1.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
565,doi:10.7910/DVN/EKZQSZ,0.0,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
566,doi:10.7910/DVN/ELHTWJ,1.0,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
567,doi:10.7910/DVN/ELI51F,1.0,2020,Clarifying-Ideology-Policy-Diffusion,Social Sciences,RESEARCHERS,Replication Data for: Clarifying the Measurement of Relative Ideology in Policy Diffusion Research
568,doi:10.7910/DVN/ELT9VD,1.0,2017,BJPolS,Engineering;Mathematical Sciences;Medicine; Health and Life Sciences;Social Sciences,JOURNALS,British Journal of Political Science Dataverse
569,doi:10.7910/DVN/ELUQVD,1.0,2016,facebook,Business and Management;Computer and Information Science;Mathematical Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Facebook Dataverse
570,doi:10.7910/DVN/ELZZ8V,,2019,sfm,Social Sciences,RESEARCHERS,Seraphine F. Maerz Dataverse
571,doi:10.7910/DVN/EMK9FB,0.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
572,doi:10.7910/DVN/EMLHCT,0.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
573,doi:10.7910/DVN/EMM5MP,0.0,2020,yuhuawang,Business and Management;Law;Social Sciences,RESEARCHERS,Yuhua Wang Dataverse
574,doi:10.7910/DVN/EMTSV8,,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
575,doi:10.7910/DVN/ENFMZY,0.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
576,doi:10.7910/DVN/EP7DXB,0.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
577,doi:10.7910/DVN/EPBIDE,1.0,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
578,doi:10.7910/DVN/EPBPMJ,,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
579,doi:10.7910/DVN/ERMN4H,0.0,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
580,doi:10.7910/DVN/ERNXOP,,2016,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
581,doi:10.7910/DVN/ERX5D1,,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
582,doi:10.7910/DVN/ETNFCY,,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
583,doi:10.7910/DVN/EUIGEO,0.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
584,doi:10.7910/DVN/EUQMPP,,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
585,doi:10.7910/DVN/EVM78E,,2018,LPGCleanCook_JEPO,Social Sciences,RESEARCH_PROJECTS,"LPG as a Clean Cooking Fuel: Adoption, Use, and Impact in Rural India"
586,doi:10.7910/DVN/EWISS3,0.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
587,doi:10.7910/DVN/EX7LIV,1.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
588,doi:10.7910/DVN/EXVUEA,0.0,2016,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
589,doi:10.7910/DVN/EY2I6M,1.0,2017,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
590,doi:10.7910/DVN/EYME7H,0.0,2018,montag,Social Sciences,RESEARCHERS,Josef Montag's Dataverse
591,doi:10.7910/DVN/EZDWZH,0.0,2019,schimpfch,Social Sciences,RESEARCHERS,Christian Schimpf Dataverse
592,doi:10.7910/DVN/EZSJ1S,0.0,2018,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
593,doi:10.7910/DVN/F08NDH,0.0,2019,ssoroka,Social Sciences,RESEARCHERS,Stuart Soroka Dataverse
594,doi:10.7910/DVN/F0GMX1,1.0,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
595,doi:10.7910/DVN/F0NDJP,1.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
596,doi:10.7910/DVN/F1CFFM,1.0,2018,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
597,doi:10.7910/DVN/F32IWX,0.0,2018,harvard,Law;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
598,doi:10.7910/DVN/F6CVMG,,2020,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
599,doi:10.7910/DVN/F6LJP8,1.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
600,doi:10.7910/DVN/F8YTX2,,2018,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
601,doi:10.7910/DVN/FAAMAX,1.0,2018,BLS-PNAS,Social Sciences,RESEARCH_PROJECTS,Bechtel Liesch Scheve PNAS
602,doi:10.7910/DVN/FAB3FE,0.0,2016,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
603,doi:10.7910/DVN/FAG8BP,1.0,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
604,doi:10.7910/DVN/FAGL6V,1.0,2019,researchandpolitics,Social Sciences,JOURNALS,Research & Politics Dataverse
605,doi:10.7910/DVN/FAH6KL,0.0,2018,ipsr-risp,Social Sciences,JOURNALS,Italian Political Science Review (IPSR/RISP) Dataverse
606,doi:10.7910/DVN/FAU3VR,,2017,miwahirofumi,Social Sciences,RESEARCHERS,Hirofumi Miwa Dataverse
607,doi:10.7910/DVN/FAWCGP,0.0,2016,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
608,doi:10.7910/DVN/FB0R8A,0.0,2016,matanock,Social Sciences,RESEARCHERS,Matanock Dataverse
609,doi:10.7910/DVN/FB3O9W,1.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
610,doi:10.7910/DVN/FCHU0J,0.0,2016,trackingdecoy,Computer and Information Science;Physics;Social Sciences,RESEARCH_PROJECTS,Lock in Feedback Dataverse
611,doi:10.7910/DVN/FECIO3,,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
612,doi:10.7910/DVN/FEP8O2,,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
613,doi:10.7910/DVN/FF3DQM,0.0,2019,the_review,Law;Social Sciences,JOURNALS,American Political Science Review Dataverse
614,doi:10.7910/DVN/FFBNBU,,2018,guygrossman,Social Sciences,RESEARCHERS,Guy Grossman Dataverse
615,doi:10.7910/DVN/FFGFEG,0.0,2018,harvard,Computer and Information Science;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
616,doi:10.7910/DVN/FFKC2P,0.0,2020,rdesai2,Medicine; Health and Life Sciences,RESEARCHERS,Rishi Desai Dataverse
617,doi:10.7910/DVN/FGNBHX,0.0,2018,culturalanalytics,Arts and Humanities,JOURNALS,Cultural Analytics Dataverse
618,doi:10.7910/DVN/FHD6M2,1.0,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
619,doi:10.7910/DVN/FHTQL5,,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
620,doi:10.7910/DVN/FIL6J1,,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
621,doi:10.7910/DVN/FL08PZ,1.0,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
622,doi:10.7910/DVN/FLXHAZ,0.0,2019,JAERE,Social Sciences,JOURNALS,Journal of the Association of Environmental and Resource Economists Dataverse
623,doi:10.7910/DVN/FMJDCD,1.0,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
624,doi:10.7910/DVN/FMX62W,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
625,doi:10.7910/DVN/FN7XIV,1.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
626,doi:10.7910/DVN/FP8THH,1.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
627,doi:10.7910/DVN/FPG4S1,,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
628,doi:10.7910/DVN/FPMUUG,1.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
629,doi:10.7910/DVN/FPYKTP,1.0,2019,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
630,doi:10.7910/DVN/FQEMZU,,2018,economics,Social Sciences,JOURNALS,"Economics: The Open-Access, Open-Assessment E-Journal Dataverse"
631,doi:10.7910/DVN/FQPO0E,,2019,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
632,doi:10.7910/DVN/FR4HOU,,2019,lsq,Social Sciences,JOURNALS,Legislative Studies Quarterly
633,doi:10.7910/DVN/FR73RE,,2020,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
634,doi:10.7910/DVN/FRBXQW,1.0,2020,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
635,doi:10.7910/DVN/FRGHVR,1.0,2020,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
636,doi:10.7910/DVN/FROKE5,,2020,perspectives,Social Sciences,JOURNALS,Perspectives on Politics
637,doi:10.7910/DVN/FRPRDP,0.0,2019,world-politics,Social Sciences,JOURNALS,World Politics Dataverse
638,doi:10.7910/DVN/FRWBPJ,,2016,DJHOPKINS,Social Sciences,RESEARCHERS,Daniel J. Hopkins Dataverse
639,doi:10.7910/DVN/FS90RJ,,2016,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
640,doi:10.7910/DVN/FSN6ZY,0.0,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
641,doi:10.7910/DVN/FSNEZY,1.0,2019,IOJ,Social Sciences,JOURNALS,International Organization (IO) Journal Dataverse
642,doi:10.7910/DVN/FTFJTV,,2019,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
643,doi:10.7910/DVN/FTYHPJ,1.0,2019,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
644,doi:10.7910/DVN/FUC2AH,0.0,2017,tpmnewsletter,Social Sciences,JOURNALS,The Political Methodologist Dataverse
645,doi:10.7910/DVN/FUJGY1,1.0,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
646,doi:10.7910/DVN/FV7UOH,0.0,2019,perspectives,Social Sciences,JOURNALS,Perspectives on Politics
647,doi:10.7910/DVN/FV8QQ9,1.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
648,doi:10.7910/DVN/FV9AVG,0.0,2020,leeper,Social Sciences,RESEARCHERS,Thomas J. Leeper Dataverse
649,doi:10.7910/DVN/FXKA3J,,2016,naijia,Social Sciences,RESEARCHERS,Tweets will Tell: Using Social Media to Predict Protest Behavior Dataverse
650,doi:10.7910/DVN/FXRIOS,1.0,2015,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
651,doi:10.7910/DVN/FXVVDQ,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
652,doi:10.7910/DVN/FY7SVG,0.0,2019,polbehavior,Social Sciences,JOURNALS,Political Behavior Dataverse
653,doi:10.7910/DVN/FYJ6YT,,2017,harvard,Arts and Humanities;Medicine; Health and Life Sciences;Other,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
654,doi:10.7910/DVN/FYQWMS,,2020,harvard,Earth and Environmental Sciences;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
655,doi:10.7910/DVN/FYXNIM,0.0,2020,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
656,doi:10.7910/DVN/FZCXVN,0.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
