doi:10.7910/DVN/XFQZI2	Condemnation.R	Error in read.dta13('Condemnation.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/OUYTUP	measure_validation.R	Error in pdf('results/validation_accuracy.pdf', 8, 5) :   cannot open file 'results/validation_accuracy.pdf'
doi:10.7910/DVN/OUYTUP	model_interaction_effects.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/OUYTUP	model_ols.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/OUYTUP	model_ols_loquacity.R	Error in pdf(file = 'results/OLS_plot_quiet.pdf', height = 7, width = 12) :   cannot open file 'results/OLS_plot_quiet.pdf'
doi:10.7910/DVN/OUYTUP	model_ols_pooled.R	Error in pdf(file = 'results/OLS_plot_pooled.pdf', height = 7, width = 12) :   cannot open file 'results/OLS_plot_pooled.pdf'
doi:10.7910/DVN/OUYTUP	model_ols_semipooled.R	Error in pdf(file = 'results/OLS_plot_semipooled.pdf', height = 7, width = 12) :   cannot open file 'results/OLS_plot_semipooled.pdf'
doi:10.7910/DVN/OUYTUP	negative_binomial_model.R	Error in pdf(file = 'results/nb_plot.pdf', height = 7, width = 12) :   cannot open file 'results/nb_plot.pdf'
doi:10.7910/DVN/W01JL7	Figures.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/5UZF0X	figure1_knowledge_MS_2469.R	Error in library('poweRlaw', lib.loc = '~/R/win-library/3.2') :   no library trees found in 'lib.loc'
doi:10.7910/DVN/5UZF0X	figure2_cities_MS_2469.R	Error in library('poweRlaw', lib.loc = '~/R/win-library/3.2') :   no library trees found in 'lib.loc'
doi:10.7910/DVN/W1REJL	rtlmauc.R	Error in if (substring(path, 1, 1) == '~') { :   missing value where TRUE/FALSE needed
doi:10.7910/DVN/W1REJL	rtlmfolds.R	success
doi:10.7910/DVN/YBCZHI	Twin script - bivariate - AU.R	Error in getOption('useFancyQuotes') : reached elapsed time limit
doi:10.7910/DVN/YBCZHI	convert SPSS to Stata.R	Error in read.spss('Uminn_twinsvy_jan2010 final_labeled.sav', to.data.frame = TRUE) :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/YBCZHI	genepihelperfunctions.R	success
doi:10.7910/DVN/YBCZHI	unknown	time limit exceeded
doi:10.7910/DVN/TMB5YV	gvc_mediation_replication.r	Error in read.dta13('gvc_mediation_replication_data.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/SWUYZR	JPS Parliamentary Questions LSQ 2013 Replication Code.R	Error in zelig(leginforcedummy ~ MEPmentionsowncountryreg + opposition +  :   could not find function 'zelig'
doi:10.7910/DVN/PAHRCK	0_master.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/PAHRCK	1_SimulatedData.R	success
doi:10.7910/DVN/5XM0XM	helpers.R	Error: unexpected ')' in: \    { install.packages(lib
doi:10.7910/DVN/B075NQ	01_Table_1.R	success
doi:10.7910/DVN/B075NQ	02_Figure_2.R	success
doi:10.7910/DVN/B075NQ	03_Table_2.R	success
doi:10.7910/DVN/B075NQ	04_Table_3.R	success
doi:10.7910/DVN/B075NQ	05_Figure_3_a.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/B075NQ	unknown	time limit exceeded
doi:10.7910/DVN/LWXXAM	code11.R	Error in read.dta('./vote_choice/votechoice_out.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/LWXXAM	code12.R	Error in read.dta('./marginal_effects/me_postal_all.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/LWXXAM	code2.R	Error in read.dta('./partrends/parallel_trends_all.dta', convert.factors = F) :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/LWXXAM	code4.R	Error in read.dta('./marginal_effects/me_postalmarginal_all.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/LWXXAM	code6.R	Error in read.dta('simulation_input_interest_and_income.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/LWXXAM	code9.R	success
doi:10.7910/DVN/LWXXAM	summarySE.R	success
doi:10.7910/DVN/WY3QZS	r_example.R	Error in rgraph(25, 1, 0.1) : could not find function 'rgraph'
doi:10.7910/DVN/SE2CIX	Create Final Unweighted_Bayes Files for CT and CBG.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/L1Y2KJ	Code_For_Figures.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/9HO5J8	Analysis Tutorial.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/TKORD8	calculate_and_add_zip_distances.R	Error in DATA$pg08[DATA$zip_cali309 == ''] <- NA :   object 'DATA' not found
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_glm.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_glm_cumulative.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_glm_placebo_cumulative.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_lm_cumulative.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_lm_placebo_cumulative.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_dyad_party_changes_placebo_glm.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	model_party_change_by_move_distance.R	Error in subset(DATA, (mover4 == 1)) : object 'DATA' not found
doi:10.7910/DVN/TKORD8	moving_analysis_anes_replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/TKORD8	plot_dyad_models_glm.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	plot_dyad_models_lm.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	plot_partychanges_by_move_distance.R	success
doi:10.7910/DVN/TKORD8	plot_partychanges_by_move_distance_raw.R	success
doi:10.7910/DVN/TKORD8	simple_spouse_stats.R	Error in eval(ei, envir) : object 'spouses' not found
doi:10.7910/DVN/TKORD8	summarize_individual_partychanges.R	Error in names(INDIV)[grep(\locality\"
doi:10.7910/DVN/TKORD8	summarize_individual_partychanges_beforeaftermoves.R	Error in gsub('cali3', 'cali', names(INDIV)) : object 'INDIV' not found
doi:10.7910/DVN/TKORD8	summarize_individual_partychanges_with_direction.R	Error in gsub('cali3', 'cali', names(INDIV)) : object 'INDIV' not found
doi:10.7910/DVN/TKORD8	summary_table_beforeafter_moves.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKORD8	summary_table_beforeafter_moves_sds.R	success
doi:10.7910/DVN/AFFHAH	analysisStrictPartic.R	Error in CrossTable(x = data.0$evangelical, y = data.0$bush, prop.c = F,  :   could not find function 'CrossTable'
doi:10.7910/DVN/AFFHAH	palsCleaning.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/AFFHAH	separateLogits.R	time limit exceeded
doi:10.7910/DVN/LF9H7Q	field experiments.R	Error : 'C:/Users/jespe/Desktop/Projekter/Systematic review of field experiments/data/field experiments.csv' does not exist.
doi:10.7910/DVN/FL08PZ	contribution analysis.R	Error in data$give08 : object of type 'closure' is not subsettable
doi:10.7910/DVN/FL08PZ	functions.R	success
doi:10.7910/DVN/FL08PZ	health and participation analysis - JOP.R	Error in read.dta('newCatalist.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/FL08PZ	persuasion analysis.R	Error in data$campaign08 : object of type 'closure' is not subsettable
doi:10.7910/DVN/FL08PZ	set up data from private.R	Error in read.dta('newCatalist.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/FL08PZ	vote (self-report) analysis.R	Error in data$vote08 : object of type 'closure' is not subsettable
doi:10.7910/DVN/FL08PZ	voting analysis.R	Error in data$cat08 : object of type 'closure' is not subsettable
doi:10.7910/DVN/BV7YUU	Rcode_terrorism&FDI.R	Error in subset(data3, year > 1989) : object 'data3' not found
doi:10.7910/DVN/TIIJAK	get data.R	Error in install_version('httr', version = '0.2', repos = 'http://cran.us.r-project.org') :   could not find function 'install_version'
doi:10.7910/DVN/TIIJAK	model.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/3M9OD8	Fraga2016_Figures2to5.R	success
doi:10.7910/DVN/3M9OD8	Fraga2016_Tables1to3.R	Error in t.test.default(fraga1_MajT_A$PctFem_U, fraga1_MajC_A$PctFem_U) :   not enough 'x' observations
doi:10.7910/DVN/KVZXE8	coercion_provocation.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KVZXE8	democratic_peace.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KVZXE8	desante_welfare.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KVZXE8	jstor_graph_code.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/KVZXE8	latura_childcare.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KVZXE8	real_world_analysis.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KVZXE8	survey_functions.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/UYB6QD	R_Script_Twitter_COVID-19_US_Departments.R	Error in basename(file = 'C:/Users/chave/Downloads/R_CVS_Twitter_COVID-19_US_Departments.csv') :   unused argument (file = 'C:/Users/chave/Downloads/R_CVS_Twitter_COVID-19_US_Departments.csv')
doi:10.7910/DVN/N0PBQ9	unknown	time limit exceeded
doi:10.7910/DVN/FAB3FE	Table1.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/FAB3FE	figure1.R	Error in read.dta('2010 cands.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/FAB3FE	figure2.R	Error in windows(height = 8.5, width = 8.5) :   could not find function 'windows'
doi:10.7910/DVN/FAB3FE	figure3.R	Error in windows(height = 5, width = 8.5) :   could not find function 'windows'
doi:10.7910/DVN/FAB3FE	figure4.R	Error in windows(height = 5, width = 8.5) :   could not find function 'windows'
doi:10.7910/DVN/GHQXUE	R script - Calibration.R	Error in calibrate(dataraw$RESraw, type = 'fuzzy', method = 'direct',  :   could not find function 'calibrate'
doi:10.7910/DVN/GHQXUE	R script - QCA analysis.R	Error : There are no remainders to include, all configurations are observed.
doi:10.7910/DVN/2JQH0T	authoritarian_footprints_replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/VTA5OA	paper.R	time limit exceeded
doi:10.7910/DVN/MHWTTS	Vmurinus_Sexmat_modellingBMFA.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/MHWTTS	Vmurinus_Sexmat_modellingHI.R	Error in loadNamespace(name) : there is no package called 'jagsUI'
doi:10.7910/DVN/MHWTTS	Vmurinus_Sexmat_modellingTreat.R	Error in `$<-.data.frame`(`*tmp*`, REGIME, value = numeric(0)) :   replacement has 0 rows, data has 153
doi:10.7910/DVN/UERKTM	LDVReplication.R	Error in model.frame.default(formula = ynl ~ 0 + ylag1 + ylag2 + xn +  :   reached elapsed time limit
doi:10.7910/DVN/YUM3K8	BA_estimation.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/YUM3K8	unknown	time limit exceeded
doi:10.7910/DVN/DMWWS5	syria-selfid-replication.r	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/SSEN5A	02_03_CCES2014_MakeFigures.R	Error in fread('Tables/SupportByBillTreatPid.csv') :   File 'Tables/SupportByBillTreatPid.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/SSEN5A	03_03_PlotSimpleResult.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/SSEN5A	03_04_IrtScaleVotes.R	Error in pdf(sprintf('figures/IRTScaledVoters%s.pdf', ifelse(use.screened,  :   cannot open file 'figures/IRTScaledVoters-Screened.pdf'
doi:10.7910/DVN/SSEN5A	03_05_PlotIRTResult.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/SSEN5A	03_99_BillNames.R	success
doi:10.7910/DVN/SSEN5A	04_03_Lucid_Plots.R	Error in fread('Tables/SupportByBillPid3Condition_weighted.csv') :   File 'Tables/SupportByBillPid3Condition_weighted.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/ERNXOP	00-main.r	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/ERNXOP	01-clean-data.r	Error in read.dta('za4605_a08.dta', convert.underscore = TRUE, convert.factors = FALSE) :   could not find function 'read.dta'
doi:10.7910/DVN/ERNXOP	02-topic-models.r	Error in textProcessor(d$left, sparselevel = 0.999, stem = FALSE, verbose = TRUE) :   could not find function 'textProcessor'
doi:10.7910/DVN/ERNXOP	03-tab-3.r	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ERNXOP	04-fig-4-5-14.r	Error in eval(ei, envir) : object 'd' not found
doi:10.7910/DVN/ERNXOP	05-fig-6-7.r	Error in mean(d$leftright[d$max.left == i], na.rm = TRUE) :   object 'd' not found
doi:10.7910/DVN/ERNXOP	06-fig-8-table-5.r	Error in pdf(file = 'plots/regression_leftright_associations.pdf', width = 8,  :   cannot open file 'plots/regression_leftright_associations.pdf'
doi:10.7910/DVN/ERNXOP	07-fig-9-table-2.r	Error in is.data.frame(data) : object 'd' not found
doi:10.7910/DVN/ERNXOP	08-fig-15-16.r	Error in eval(ei, envir) : object 'd' not found
doi:10.7910/DVN/ERNXOP	09-effect_on_party_placements.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ERNXOP	10-fig-10-11-12-appendix-analysis.r	Error in read.dta('za4605_a08.dta', convert.underscore = TRUE, convert.factors = FALSE) :   could not find function 'read.dta'
doi:10.7910/DVN/ERNXOP	11-irt-scaling-factor-analysis.r	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/TX160A	analysis.R	success
doi:10.7910/DVN/KG1DEC	mvc-laws-maps.R	Error in toRGB('white') : could not find function 'toRGB'
doi:10.7910/DVN/DZQDQO	Winters_Capture_Replication_Figure1.R	success
doi:10.7910/DVN/BANJL7	Figures.R	Error in dev.copy(jpeg, width = 800, height = 400, filename = '/Users/Reuben/Dropbox/Pass-It-Along/Analysis/figureA.png') :   cannot copy from the null device
doi:10.7910/DVN/QR73H6	ReplicationCellPhones.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/7CJQ6H	FIGURE1-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	FIGURE2-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	FIGURE4_5-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	FIGURE6_7-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	FIGURE8-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	FIGUREC1-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/7CJQ6H	TABLE3-1.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/8GRBRZ	Baumer_etal-2019.R	success
doi:10.7910/DVN/YSVMS2	FRS-Replication.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/KMUYUK	10_claims_createdata.R	Error in import('Sources/ICOWclaimdy.dta') :   could not find function 'import'
doi:10.7910/DVN/KMUYUK	11_claims_readdata.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KMUYUK	unknown	time limit exceeded
doi:10.7910/DVN/CLTYZP	Beckman_replication3.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/NS5W59	mvmReplicationwFigs.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/MB2UKU	analysis_afd_voting_precinct_level_ri.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/MB2UKU	unknown	time limit exceeded
doi:10.7910/DVN/VWDGHT	contraction_plot.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/VWDGHT	imputation_plot.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/VWDGHT	model_fitting.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/UGKVTJ	Descriptive Plots.R	success
doi:10.7910/DVN/UGKVTJ	PoP_Scripts.R	Error in szbsvar(trump, p = 7, rep.debate[, 2:8], lambda0 = priors$l0,  :   could not find function 'szbsvar'
doi:10.7910/DVN/2XP8YF	analysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/WY7PR8	ReplicationReplicationMessing2015.R	success
doi:10.7910/DVN/BKI1X3	figure_1.R	Error in eval(ei, envir) : object 'mergedTable_ifls' not found
doi:10.7910/DVN/BKI1X3	figure_c1.R	Error in is.data.frame(data) : object 'mergedTable_podes' not found
doi:10.7910/DVN/BKI1X3	figure_e1.R	Error in eval(lhs, parent, parent) : object 'mergedTable_podes' not found
doi:10.7910/DVN/BKI1X3	figure_e10.R	Error in fread('./data/sharia_laws/kabs_sharia_laws_011218.csv', header = T) :   could not find function 'fread'
doi:10.7910/DVN/BKI1X3	figures_d1_to_d5.R	Error in eval(ei, envir) : object 'mergedTable_podes' not found
doi:10.7910/DVN/BKI1X3	figures_e2_e3.R	Error in eval(ei, envir) : object 'mergedTable_nvms' not found
doi:10.7910/DVN/BKI1X3	figures_e5_to_e9.R	Error in namaPartai %in% parties_non_2009 : object 'namaPartai' not found
doi:10.7910/DVN/BKI1X3	functions.R	success
doi:10.7910/DVN/BKI1X3	kecamatan_crosswalks.R	Error in fread('./crosswalks/kecamatan_to_dprd2_2004.csv') :   could not find function 'fread'
doi:10.7910/DVN/BKI1X3	main.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/BKI1X3	make_directory.R	success
doi:10.7910/DVN/BKI1X3	make_elections_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	make_fractionalization_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	make_ifls_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	make_podes_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	make_pretreat_podes_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	make_violence_data.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	merge_test.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_1.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_2.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_d2.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e1.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e2.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e3.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e4.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e5.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e6.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	table_e7.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	tables_c2_d1.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/BKI1X3	tables_e8_e9.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KQNNLQ	PI_figure_homophily_by_relationship.R	Error in here('results', 'figures', 'homophily_bytype.pdf') :   could not find function 'here'
doi:10.7910/DVN/KQNNLQ	PI_figure_homophily_trends.R	Error in fread(here('results', 'tables', 'homophily_all.csv')) :   could not find function 'fread'
doi:10.7910/DVN/KQNNLQ	PI_figure_imp_text.R	Error in here('data', 'manual_coding', 'tess_coding_matched.csv') :   could not find function 'here'
doi:10.7910/DVN/KQNNLQ	PI_figure_prediction.R	Error in here('results', 'figures', 'TESS_prediction_size3.pdf') :   could not find function 'here'
doi:10.7910/DVN/KQNNLQ	PI_figure_topic_multiple_choice.R	Error in import(here('data', 'processed', 'tess_cleaned.dta')) :   could not find function 'import'
doi:10.7910/DVN/KQNNLQ	PI_figure_trends_networksize.R	Error in here('results', 'tables', 'size_all_0708.csv') :   could not find function 'here'
doi:10.7910/DVN/KQNNLQ	PI_meta_figures.R	Error in file(filename, 'r', encoding = encoding) :   cannot open the connection
doi:10.7910/DVN/KQNNLQ	PI_process_text_zip.R	Error in fread(here('data', 'manual_coding', 'tess_coding_matched.csv')) :   File '/usr/workdir/data/manual_coding/tess_coding_matched.csv' does not exist or is non-readable. getwd()=='/usr/workdir'
doi:10.7910/DVN/J7WNTM	unknown	time limit exceeded
doi:10.7910/DVN/SWORPS	appendix_share_switched.R	Error in loadNamespace(name) : there is no package called 'readstata13'
doi:10.7910/DVN/AGRX5U	1-figure 1.R	Error in emmeans(., ~corr | ideol, at = list(ideol = c(1, 4, 7))) :   could not find function 'emmeans'
doi:10.7910/DVN/AGRX5U	10-appendix table 5.R	Error in stargazer(., type = 'text', digits = 2, keep.stat = c('n', 'rsq')) :   could not find function 'stargazer'
doi:10.7910/DVN/AGRX5U	11-appendix table 6.R	success
doi:10.7910/DVN/AGRX5U	12-appendix table 8.R	success
doi:10.7910/DVN/AGRX5U	13-appendix table 9.R	success
doi:10.7910/DVN/AGRX5U	14-appendix table 10.R	Error in lmer(ans ~ ideol * corr * complexity_num * speaker + (1 | item),  :   could not find function 'lmer'
doi:10.7910/DVN/AGRX5U	15-appendix table 13.R	success
doi:10.7910/DVN/AGRX5U	16-appendix figure 10.R	Error in eval(lhs, parent, parent) : object 'ml' not found
doi:10.7910/DVN/AGRX5U	17-appendix table 14.R	success
doi:10.7910/DVN/AGRX5U	18-appendix figure 9.R	success
doi:10.7910/DVN/AGRX5U	2-figure  2.R	success
doi:10.7910/DVN/AGRX5U	3-figure 3.R	Error in mise(pkgs = T) : could not find function 'mise'
doi:10.7910/DVN/AGRX5U	4-figure 4.R	success
doi:10.7910/DVN/AGRX5U	5-figure 5.R	Error in if (value == n) { : argument is of length zero
doi:10.7910/DVN/AGRX5U	6-figure 6.R	Error in lmer(ans ~ ideol * corr * complexity_num * speaker + (1 | item),  :   could not find function 'lmer'
doi:10.7910/DVN/AGRX5U	7-table 2.R	success
doi:10.7910/DVN/AGRX5U	8-figure 7.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/AGRX5U	9-figure 8.R	Error in lmer(ans ~ ideol * corr * it_join + (1 | ResponseID), data = mt) :   could not find function 'lmer'
doi:10.7910/DVN/ZELWZ7	Mediationrep.R	Error in paste0(before, x, after) : reached elapsed time limit
doi:10.7910/DVN/JNMDCO	analysis_dataverse.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/JNMDCO	import.R	Error in import('A. original data/Minority_Hungary_p1.csv') :   could not find function 'import'
doi:10.7910/DVN/AAI7VA	main_analysis.R	Error: unexpected string constant in: \`Hmisc` 3.14
doi:10.7910/DVN/AAI7VA	supplementary_data.R	Error: unexpected string constant in: \`reshape` 1.4
doi:10.7910/DVN/FAG8BP	20000_to_80000_iterations.R	Error in import('/git_repositories/FRTIndex/paper/analysis/data_and_misc/frt_hrv_obi_bond.dta') :   could not find function 'import'
doi:10.7910/DVN/FAG8BP	FRT_Stan_in_Parallel.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/FAG8BP	IndicatorDescMake.R	success
doi:10.7910/DVN/FAG8BP	PropReported.R	success
doi:10.7910/DVN/FAG8BP	RawDataGather.R	Error in pdf(file = 'paper/paper_plots/FRED_vs_WorldBank_GFDDv2015.pdf') :   cannot open file 'paper/paper_plots/FRED_vs_WorldBank_GFDDv2015.pdf'
doi:10.7910/DVN/FAG8BP	bond_data_creator.R	Error in import('paper/analysis/data_and_misc/fred_bond_spreads.csv') :   No such file
doi:10.7910/DVN/FAG8BP	country_sample_table_creator.R	Error in import('analysis/frt10_16_v2.dta') : No such file
doi:10.7910/DVN/FAG8BP	extract_hollyer_et_al.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/FAG8BP	fiscal_trans_clean.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/FAG8BP	frt_plots_v2.R	Error in import('IndexData/FRTIndex_v2.csv') : No such file
doi:10.7910/DVN/FAG8BP	ggs_caterpillar_label.R	success
doi:10.7910/DVN/FAG8BP	ggs_summary.R	success
doi:10.7910/DVN/FAG8BP	hrv_table_creator.R	Error in CombineFiles(filesHRV, start = 'HRV_1.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	payoffs.R	Error in select(., scenario_id_2, x1, x2, gamma1, gamma2, trans1, trans2,  :   unused arguments (scenario_id_2, x1, x2, gamma1, gamma2, trans1, trans2, r1, r2, u2, u2_costly, u2_benefit, preferred2_costless, preferred2_costly, preferred2_benefit, forced)
doi:10.7910/DVN/FAG8BP	plot_creator.R	Error in import('analysis/sim_plots/estimates/spreads_coef.txt') :   No such file
doi:10.7910/DVN/FAG8BP	read_julia_stan.R	Error in loadNamespace(name) : there is no package called 'devtools'
doi:10.7910/DVN/FAG8BP	regression_data_creator.R	Error in import('paper/analysis/data_and_misc/fred_bond_spreads.csv') :   No such file
doi:10.7910/DVN/FAG8BP	report_min_once.R	success
doi:10.7910/DVN/FAG8BP	results_table_creator_elections.R	Error in CombineFiles(filesFRT, start = 'FRT_1_elections.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	results_table_creator_imf_program.R	Error in CombineFiles(filesFRT, start = 'FRT_1_imf.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	results_table_creator_main.R	Error in CombineFiles(filesFRT, start = 'FRT_1.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	results_table_creator_region_peers.R	Error in CombineFiles(filesFRT, start = 'FRT_1_region_peer.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	results_table_creator_uds.R	Error in CombineFiles(filesFRT, start = 'FRT_1_uds.dta') :   object 'out' not found
doi:10.7910/DVN/FAG8BP	spatial_dependence_explore.R	Error in import('analysis/frt08_16_v2.dta') : No such file
doi:10.7910/DVN/FAG8BP	stan_caterpillar.R	success
doi:10.7910/DVN/PITOXP	01_create-data.R	Error in import('DC Chatham HouseOrig.sav') :   could not find function 'import'
doi:10.7910/DVN/PITOXP	02_analysis.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/H1CCWM	code_Fig2.R	Error in read.xls('Fig2Estimates.xlsx', sheet = 1, header = TRUE) :   could not find function 'read.xls'
