,doi,publicationDate,publisher,subject,type,name
453,doi:10.7910/DVN/AGUVBE,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
454,doi:10.7910/DVN/F0GMX1,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
455,doi:10.7910/DVN/DFEH8S,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
456,doi:10.7910/DVN/8AKACJ,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
457,doi:10.7910/DVN/UO5WQ4,2016,pan,Mathematical Sciences;Social Sciences,JOURNALS,Political Analysis Dataverse
458,doi:10.7910/DVN/TOZUDO,2020,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
459,doi:10.7910/DVN/TVNVN3,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
460,doi:10.7910/DVN/KHE44F,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
461,doi:10.7910/DVN/EBBP1O,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
462,doi:10.7910/DVN/RJF61A,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
463,doi:10.7910/DVN/STH14F,2020,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
464,doi:10.7910/DVN/TUUYLQ,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
465,doi:10.7910/DVN/TLPMVI,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
466,doi:10.7910/DVN/TWHEZ9,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
467,doi:10.7910/DVN/J7HUX3,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
468,doi:10.7910/DVN/PZKBUX,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
469,doi:10.7910/DVN/ELHTWJ,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
470,doi:10.7910/DVN/OZ7YZ1,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
471,doi:10.7910/DVN/S9G9XS,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
472,doi:10.7910/DVN/W9DGRR,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
473,doi:10.7910/DVN/SVAONZ,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
474,doi:10.7910/DVN/92GMLB,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
475,doi:10.7910/DVN/ADIFOV,2020,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
476,doi:10.7910/DVN/D6HU1J,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
477,doi:10.7910/DVN/3IWTGB,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
478,doi:10.7910/DVN/BCQM3Y,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
479,doi:10.7910/DVN/SVY5VF,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
480,doi:10.7910/DVN/PIV1KX,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
481,doi:10.7910/DVN/SKGWTS,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
482,doi:10.7910/DVN/GTSXC1,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
483,doi:10.7910/DVN/CRLKIF,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
484,doi:10.7910/DVN/DH1IUI,2015,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
485,doi:10.7910/DVN/OMJYE5,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
486,doi:10.7910/DVN/DXDQV3,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
487,doi:10.7910/DVN/52UGJT,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
488,doi:10.7910/DVN/KD4MXV,2015,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
489,doi:10.7910/DVN/JIEWR3,2016,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
490,doi:10.7910/DVN/N2I9LC,2015,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
491,doi:10.7910/DVN/WM3X3D,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
492,doi:10.7910/DVN/BPU1XG,2018,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
493,doi:10.7910/DVN/YTPJ1N,2017,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
494,doi:10.7910/DVN/K0OYQF,2019,pan,Computer and Information Science;Social Sciences,JOURNALS,Political Analysis Dataverse
495,doi:10.7910/DVN/DFRSKZ,2019,pan,Social Sciences,JOURNALS,Political Analysis Dataverse
496,doi:10.7910/DVN/RJWU7A,2015,intertransferuschina,Social Sciences,RESEARCH_PROJECTS,Behind Parent-Child Relationship and Intergenerational Transfer – A Comparative Study on the U.S. and China Dataverse
497,doi:10.7910/DVN/FAAMAX,2018,BLS-PNAS,Social Sciences,RESEARCH_PROJECTS,Bechtel Liesch Scheve PNAS
498,doi:10.7910/DVN/PAHRCK,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
499,doi:10.7910/DVN/G76EDS,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
500,doi:10.7910/DVN/OYORNJ,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
501,doi:10.7910/DVN/4MTMXW,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
502,doi:10.7910/DVN/B4XDZP,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
503,doi:10.7910/DVN/GBNGDF,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
504,doi:10.7910/DVN/B2EGF3,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
505,doi:10.7910/DVN/EHRNTO,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
506,doi:10.7910/DVN/83TXKI,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
507,doi:10.7910/DVN/TMB5YV,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
508,doi:10.7910/DVN/RXWV0T,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
509,doi:10.7910/DVN/EPBIDE,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
510,doi:10.7910/DVN/MHE2PO,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
511,doi:10.7910/DVN/TQYWJR,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
512,doi:10.7910/DVN/N9TTIA,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
513,doi:10.7910/DVN/XF7UBI,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
514,doi:10.7910/DVN/DNWDSR,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
515,doi:10.7910/DVN/8XUKIH,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
516,doi:10.7910/DVN/ZCSCRI,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
517,doi:10.7910/DVN/YTTDWH,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
518,doi:10.7910/DVN/2LY2WB,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
519,doi:10.7910/DVN/ZWOOHV,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
520,doi:10.7910/DVN/WDPAZV,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
521,doi:10.7910/DVN/W8TQHB,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
522,doi:10.7910/DVN/QVI6MS,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
523,doi:10.7910/DVN/CLTYZP,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
524,doi:10.7910/DVN/CI1J5T,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
525,doi:10.7910/DVN/OZTK8P,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
526,doi:10.7910/DVN/RTB67K,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
527,doi:10.7910/DVN/EMTSV8,2017,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
528,doi:10.7910/DVN/SYSQDB,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
529,doi:10.7910/DVN/64PBG7,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
530,doi:10.7910/DVN/VSLUQX,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
531,doi:10.7910/DVN/C8FMWZ,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
532,doi:10.7910/DVN/DCYDHS,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
533,doi:10.7910/DVN/V5P0SM,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
534,doi:10.7910/DVN/LNUSBB,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
535,doi:10.7910/DVN/LNMEXL,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
536,doi:10.7910/DVN/VGSSNX,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
537,doi:10.7910/DVN/LPLJCL,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
538,doi:10.7910/DVN/W2JM0L,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
539,doi:10.7910/DVN/YDCL7Z,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
540,doi:10.7910/DVN/EAL0CY,2019,internationalinteractions,Computer and Information Science;Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
541,doi:10.7910/DVN/XPRQWH,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
542,doi:10.7910/DVN/X9V201,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
543,doi:10.7910/DVN/BJX91O,2019,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
544,doi:10.7910/DVN/KJVJUW,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
545,doi:10.7910/DVN/8N79E6,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
546,doi:10.7910/DVN/SREUHV,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
547,doi:10.7910/DVN/G3WF1H,2016,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
548,doi:10.7910/DVN/UVTZZV,2018,internationalinteractions,Social Sciences,JOURNALS,International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse
549,doi:10.7910/DVN/XY2TUK,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
550,doi:10.7910/DVN/R1M1ID,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
551,doi:10.7910/DVN/HT1WSA,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
552,doi:10.7910/DVN/5JMNRV,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
553,doi:10.7910/DVN/XIT20Z,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
554,doi:10.7910/DVN/LCLJTT,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
555,doi:10.7910/DVN/TX3VWP,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
556,doi:10.7910/DVN/NZCGYX,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
557,doi:10.7910/DVN/SVSLO2,2020,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
558,doi:10.7910/DVN/27KBWG,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
559,doi:10.7910/DVN/R9PVOF,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
560,doi:10.7910/DVN/FAG8BP,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
561,doi:10.7910/DVN/PHVXJK,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
562,doi:10.7910/DVN/44XF6M,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
563,doi:10.7910/DVN/TPAB95,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
564,doi:10.7910/DVN/N6CT4V,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
565,doi:10.7910/DVN/G8AF5G,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
566,doi:10.7910/DVN/F43LHM,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
567,doi:10.7910/DVN/K5MT68,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
568,doi:10.7910/DVN/D9FAZL,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
569,doi:10.7910/DVN/O1PMGO,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
570,doi:10.7910/DVN/B47FTE,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
571,doi:10.7910/DVN/YETMOY,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
572,doi:10.7910/DVN/I8XQPM,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
573,doi:10.7910/DVN/XX1KYY,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
574,doi:10.7910/DVN/KDKPJQ,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
575,doi:10.7910/DVN/2NDL6R,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
576,doi:10.7910/DVN/Y2EMIO,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
577,doi:10.7910/DVN/TF046M,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
578,doi:10.7910/DVN/2DLCPZ,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
579,doi:10.7910/DVN/YGKKRU,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
580,doi:10.7910/DVN/RTB1IG,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
581,doi:10.7910/DVN/PSOFAU,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
582,doi:10.7910/DVN/4LIO9F,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
583,doi:10.7910/DVN/4XQUKB,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
584,doi:10.7910/DVN/FUJGY1,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
585,doi:10.7910/DVN/2IO3DL,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
586,doi:10.7910/DVN/ETNFCY,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
587,doi:10.7910/DVN/GLEY3J,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
588,doi:10.7910/DVN/N1DE4Q,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
589,doi:10.7910/DVN/AHBXWA,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
590,doi:10.7910/DVN/GSY2TA,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
591,doi:10.7910/DVN/CTMZX8,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
592,doi:10.7910/DVN/VPZZCQ,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
593,doi:10.7910/DVN/6EOZAY,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
594,doi:10.7910/DVN/PUIVRF,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
595,doi:10.7910/DVN/Z7DN56,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
596,doi:10.7910/DVN/MVCLDA,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
597,doi:10.7910/DVN/UVC4CI,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
598,doi:10.7910/DVN/TLBTYD,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
599,doi:10.7910/DVN/DAC9NX,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
600,doi:10.7910/DVN/FZHJUM,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
601,doi:10.7910/DVN/DZQDQO,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
602,doi:10.7910/DVN/S9VBBL,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
603,doi:10.7910/DVN/3YK0HL,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
604,doi:10.7910/DVN/EMLHCT,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
605,doi:10.7910/DVN/LP1F7C,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
606,doi:10.7910/DVN/IM4UE3,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
607,doi:10.7910/DVN/RXDTTS,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
608,doi:10.7910/DVN/EMK9FB,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
609,doi:10.7910/DVN/IGLWYD,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
610,doi:10.7910/DVN/4O4R79,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
611,doi:10.7910/DVN/OYI55F,2017,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
612,doi:10.7910/DVN/W8AAYK,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
613,doi:10.7910/DVN/DVMT2R,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
614,doi:10.7910/DVN/WY3QZS,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
615,doi:10.7910/DVN/TTPOJB,2019,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
616,doi:10.7910/DVN/RT5HRL,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
617,doi:10.7910/DVN/NJHQ8Y,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
618,doi:10.7910/DVN/56L9JP,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
619,doi:10.7910/DVN/YAPXVG,2018,isq,Social Sciences,JOURNALS,International Studies Quarterly Dataverse
620,doi:10.7910/DVN/26905,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
621,doi:10.7910/DVN/29497,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
622,doi:10.7910/DVN/ADFBT7,2018,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
623,doi:10.7910/DVN/29171,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
624,doi:10.7910/DVN/XQY6CZ,2018,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
625,doi:10.7910/DVN/AFFHAH,2015,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
626,doi:10.7910/DVN/PQUUEF,2017,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
627,doi:10.7910/DVN/PLVYXH,2018,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
628,doi:10.7910/DVN/NSTBR7,2020,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
629,doi:10.7910/DVN/NS5W59,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
630,doi:10.7910/DVN/1ANAKP,2020,monogan,Earth and Environmental Sciences;Social Sciences,RESEARCHERS,Monogan Dataverse
631,doi:10.7910/DVN/JPYYLA,2019,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
632,doi:10.7910/DVN/FPG4S1,2016,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
633,doi:10.7910/DVN/F8YTX2,2018,monogan,Social Sciences,RESEARCHERS,Monogan Dataverse
634,doi:10.7910/DVN/JMAQLD,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
635,doi:10.7910/DVN/YQ2HFG,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
636,doi:10.7910/DVN/FHD6M2,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
637,doi:10.7910/DVN/RBECVN,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
638,doi:10.7910/DVN/OIQA8Y,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
639,doi:10.7910/DVN/0XDYNK,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
640,doi:10.7910/DVN/BPQ4F4,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
641,doi:10.7910/DVN/ZKGJAV,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
642,doi:10.7910/DVN/NUGAJB,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
643,doi:10.7910/DVN/GYIS2O,2019,govdept,Law;Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
644,doi:10.7910/DVN/IILJ4B,2020,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
645,doi:10.7910/DVN/ABT3OE,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
646,doi:10.7910/DVN/28731,2015,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
647,doi:10.7910/DVN/IGYXEF,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
648,doi:10.7910/DVN/YT45AO,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
649,doi:10.7910/DVN/QQYHQS,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
650,doi:10.7910/DVN/QKP9EJ,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
651,doi:10.7910/DVN/LPZLBF,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
652,doi:10.7910/DVN/OK5PUL,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
653,doi:10.7910/DVN/FSN6ZY,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
654,doi:10.7910/DVN/8KQJBJ,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
655,doi:10.7910/DVN/RGIUEV,2020,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
656,doi:10.7910/DVN/9SUPHG,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
657,doi:10.7910/DVN/BLEBHI,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
658,doi:10.7910/DVN/5DLNMA,2017,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
659,doi:10.7910/DVN/BZYEIY,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
660,doi:10.7910/DVN/3SLMJY,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
661,doi:10.7910/DVN/NI225N,2016,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
662,doi:10.7910/DVN/MRIWOI,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
663,doi:10.7910/DVN/YUI2BC,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
664,doi:10.7910/DVN/UUPZ6Z,2019,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
665,doi:10.7910/DVN/JIYDQT,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
666,doi:10.7910/DVN/1JNPUA,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
667,doi:10.7910/DVN/37ZBCF,2018,restat,Social Sciences,JOURNALS,Review of Economics and Statistics Dataverse
668,doi:10.7910/DVN/LFFJRV,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
669,doi:10.7910/DVN/SOT2WM,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
670,doi:10.7910/DVN/WKCZ9Z,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
671,doi:10.7910/DVN/1CCXS9,2017,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
672,doi:10.7910/DVN/F6CVMG,2020,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
673,doi:10.7910/DVN/LUJC8I,2019,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
674,doi:10.7910/DVN/RXMV9W,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
675,doi:10.7910/DVN/UI7OFK,2020,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
676,doi:10.7910/DVN/BG1FEO,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
677,doi:10.7910/DVN/DAE3PG,2018,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
